Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year,Comment
CHEMBL2323021,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc([C@@](O)(C(N)=O)C(F)(F)F)s1,Activity,,,,CHEMBL2327881,Genotoxicity in Salmonella typhimurium by Ames test,T,BAO_0000218,organism-based format,CHEMBL2321820,Scientific Literature,ACS Med Chem Lett,2013.0,Non-toxic
CHEMBL2041685,C[C@H]1O[C@@H](n2cc(F)c(NC(=O)Oc3ccc([N+](=O)[O-])cc3)nc2=O)[C@H](O)[C@@H]1O,Activity,,,,CHEMBL2043494,Mutagenic activity in Salmonella typhimurium TA1537 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in absence of liver S9 mixture,T,BAO_0000218,organism-based format,CHEMBL2040809,Scientific Literature,Eur J Med Chem,2012.0,Non-toxic
CHEMBL3900554,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,Activity,,,,CHEMBL3858925,Mutagenicity in Salmonella typhimurium by Ames test,T,BAO_0000019,assay format,CHEMBL3856250,Scientific Literature,J Med Chem,2016.0,Non-Toxic
CHEMBL570777,BrCc1ccc(CBr)c2ccccc12,Activity,,,,CHEMBL1030283,Mutagenic activity in Salmonella typhimurium TA100 assessed as crosslinking-associated increase in number of revertants after 2 days by Ames test,T,BAO_0000218,organism-based format,CHEMBL1151903,Scientific Literature,Bioorg Med Chem,2009.0,Active
CHEMBL4211518,CCN1CCN(Cc2ccc(N)cc2C(F)(F)F)CC1,Activity,,,,CHEMBL4199573,Genotoxicity in Salmonella typhimurium TA98 by Ames test,T,BAO_0000218,organism-based format,CHEMBL4196113,Scientific Literature,ACS Med Chem Lett,2018.0,Toxic
CHEMBL1335750,O=C(COc1ccccc1)Nc1ncccn1,Activity,'>',40.0,um,CHEMBL1738020,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: JAK2V617F Inhibition",U,BAO_0000019,assay format,CHEMBL1201862,PubChem BioAssays,,,inactive
CHEMBL1576722,COc1ccccc1-c1nnc(Sc2nc([N+](=O)[O-])nn2C)o1,Activity,'=',13.56,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1501345,N#Cc1ccccc1NC(=O)COc1ccc2c(c1)OCO2,Activity,'>',40.0,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,inactive
CHEMBL53898,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,Activity,'=',16.12,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL4215407,Cc1cc(COc2ccc(S(=O)(=O)N(C)C3(C(=O)NO)CN(C(=O)C(C)C)C3)cc2)c2ccccc2n1,Activity,,,,CHEMBL4186146,Mutagenicity in Salmonella typhimurium TA100 in absence of rat S9 fraction by Ames test,T,BAO_0000218,organism-based format,CHEMBL4184149,Scientific Literature,Bioorg Med Chem,2018.0,Non-Toxic
CHEMBL3892956,Cc1ccc(CN2CC[C@@H](N3CC[C@@H](c4ccc(O)cc4)[C@H](F)C3)C2=O)cc1,Activity,,,,CHEMBL4149881,Mutagenicity in Salmonella typhimurium by Ames test,T,BAO_0000218,organism-based format,CHEMBL4145597,Scientific Literature,ACS Med Chem Lett,2018.0,Non-Toxic
CHEMBL4210896,CC(=O)N1CC2(C1)CC(NS(=O)(=O)c1ccc(OCc3cc(C)nc4ccccc34)cc1)(C(=O)NO)C2,Activity,,,,CHEMBL4186127,Genotoxicity in p53-competent human TK6 cells in absence of Sprague-Dawley rat S9 fraction by GADD45alpha GFP reporter assay,T,BAO_0000219,cell-based format,CHEMBL4184149,Scientific Literature,Bioorg Med Chem,2018.0,Toxic
CHEMBL408504,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,Activity,,,,CHEMBL4838399,Binding affinity to bacterial inner membrane mimic DOPE/DOPG (3:1) large unilamellar vesicles assessed as calcein leakage measured after 30 mins fluorescence based assay,B,BAO_0000019,assay format,CHEMBL4837216,Scientific Literature,Eur J Med Chem,2021.0,Active
CHEMBL4870881,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCCN)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,Activity,,,,CHEMBL4838399,Binding affinity to bacterial inner membrane mimic DOPE/DOPG (3:1) large unilamellar vesicles assessed as calcein leakage measured after 30 mins fluorescence based assay,B,BAO_0000019,assay format,CHEMBL4837216,Scientific Literature,Eur J Med Chem,2021.0,Active
CHEMBL4521691,NCCCC[C@@H]1NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CNC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC1=O,Activity,,,,CHEMBL4430038,Membrane permeabilization in DOPC/POPG large unilamellar vesicles in 3:1 ratio assessed as sulforhodamine B release at 16 to 64 uM by fluorescence assay,U,BAO_0000019,assay format,CHEMBL4428079,Scientific Literature,ACS Med Chem Lett,2016.0,Active
CHEMBL4578385,O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3cccc(F)c32)cc1,Activity,,,,CHEMBL4349958,Mutagenicity in Salmonella typhimurium by mini Ames test,T,BAO_0000019,assay format,CHEMBL4346735,Scientific Literature,Bioorg Med Chem Lett,2019.0,Non-Toxic
CHEMBL4078293,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2,Activity,,,,CHEMBL4023881,Genotoxicity in Salmonella typhimurium TA100 at 1.5 to 1000 ug/well in absence of rat liver S9 fraction by mini-Ames test,T,BAO_0000019,assay format,CHEMBL4020832,Scientific Literature,J Med Chem,2018.0,Non-Toxic
CHEMBL1259059,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,Activity,,,,CHEMBL3828929,Antiviral activity against HCV genotype 3a infected in homozygous cDNA-uPA chimeric SCID mouse bearing humanized hepatocytes assessed as reduction in HCV RNA level in serum administered through oral gavage once daily for 7 days by RT-PCR method,F,BAO_0000218,organism-based format,CHEMBL3826882,Scientific Literature,J Med Chem,2016.0,Dose-dependent effect
CHEMBL3416951,Cc1ccc(-c2cc3nc(NC(C)(C)C)[nH]c(=O)c3s2)cc1,Activity,,,,CHEMBL3420017,Mutagenicity in Salmonella typhimurium TA100 at 2.5 mM after 1 hr by Ames test in presence of S9 fraction,T,BAO_0000218,organism-based format,CHEMBL3414541,Scientific Literature,Eur J Med Chem,2015.0,Non-toxic
CHEMBL3809142,O=C(Cc1ccc(NC(=O)c2cscn2)cc1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,Activity,,,,CHEMBL3813399,Genotoxicity in Salmonella typhimurium by Ames test,T,BAO_0000218,organism-based format,CHEMBL3808290,Scientific Literature,ACS Med Chem Lett,2016.0,Toxic
CHEMBL1823019,O=C1c2ccccc2C(=O)N1CCO[N+](=O)[O-],Activity,,,,CHEMBL1827848,Mutagenic activity in Salmonella Typhimurium TA102 preincubated for 20 to 30 mins,T,BAO_0000218,organism-based format,CHEMBL1821727,Scientific Literature,J Med Chem,2011.0,Non-toxic
CHEMBL1837037,CN1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(c3ccccn3)CC2)C1,Activity,,,,CHEMBL1837358,Genotoxicity in Salmonella Typhimurium by Ames test,T,BAO_0000218,organism-based format,CHEMBL1833912,Scientific Literature,Bioorg Med Chem Lett,2011.0,Non-toxic
CHEMBL1837040,CC(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(c3ccccn3)CC2)C1,Activity,,,,CHEMBL1837357,Genotoxicity in CHO cells by in vitro micronucleus assay,T,BAO_0000219,cell-based format,CHEMBL1833912,Scientific Literature,Bioorg Med Chem Lett,2011.0,Toxic
CHEMBL1916399,N#Cc1cc(OC(F)(F)F)cc(-c2nc(-c3ccc4c(c3)CCN4C(=O)CCC(=O)O)no2)c1,Activity,,,,CHEMBL1920450,Mutagenic activity in Salmonella Typhimurium TA100 by Ames test in presence of S9 fraction,T,BAO_0000218,organism-based format,CHEMBL1914334,Scientific Literature,Bioorg Med Chem Lett,2011.0,Non-toxic
CHEMBL4094250,Cc1ccc(C[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](N)CCCN)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CCCN)C(N)=O)cc1,Activity,,,,CHEMBL4025735,Binding affinity to EYPC/EYPG small unilamellar vesicles at 0.1 uM by tryptophan fluorescence quenching assay,B,BAO_0000019,assay format,CHEMBL4024712,Scientific Literature,Eur J Med Chem,2017.0,Active
CHEMBL4068238,CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCN)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cn(Cc2ccccc2)cn1)C(N)=O,Activity,,,,CHEMBL4025736,Binding affinity to EYPC/cholesterol small unilamellar vesicles at 0.1 uM by tryptophan fluorescence quenching assay,A,BAO_0000019,assay format,CHEMBL4024712,Scientific Literature,Eur J Med Chem,2017.0,Non-Toxic
CHEMBL4087744,Cc1ccc(C[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](N)CCCN)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@H](CCCCN)C(N)=O)cc1,Activity,,,,CHEMBL4025736,Binding affinity to EYPC/cholesterol small unilamellar vesicles at 0.1 uM by tryptophan fluorescence quenching assay,A,BAO_0000019,assay format,CHEMBL4024712,Scientific Literature,Eur J Med Chem,2017.0,Non-Toxic
CHEMBL275224,c1ccc2c(c1)[nH]c1cnccc12,Activity,,,,CHEMBL956131,Genotoxicity in CHO cells assessed as mitotic inhibition at 5 ppm after 60 mins in dark followed by 5 W/m'2 UV irradiation for 30 mins,T,BAO_0000219,cell-based format,CHEMBL1148993,Scientific Literature,J Nat Prod,1983.0,Toxic
CHEMBL1084040,COc1ccc(Sc2nc(C(N)=O)nn2COCCOC(C)=O)cc1,Activity,,,,CHEMBL1120226,Antiviral activity against HCV infected in human HuH5.2 cells assessed as inhibition of subgenomic RNA replication after 4 days by Steady-Glo luciferase assay,F,BAO_0000218,organism-based format,CHEMBL1158603,Scientific Literature,Bioorg Med Chem Lett,2010.0,Not Active
CHEMBL1084973,CCCCSc1nc(C(N)=O)nn1COCCOC(C)=O,Activity,,,,CHEMBL1120226,Antiviral activity against HCV infected in human HuH5.2 cells assessed as inhibition of subgenomic RNA replication after 4 days by Steady-Glo luciferase assay,F,BAO_0000218,organism-based format,CHEMBL1158603,Scientific Literature,Bioorg Med Chem Lett,2010.0,Not Active
CHEMBL2448442,BP(=O)(O)CC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-],Activity,,,,CHEMBL1105924,Antiviral activity against HCV 1b infected in Huh-5-2 cells assessed as inhibition of subgenomic replication,F,BAO_0000218,organism-based format,CHEMBL1154819,Scientific Literature,Eur J Med Chem,2010.0,Not Active
CHEMBL3769933,Cc1c2c(nn1-c1nnc(-c3ccc(OC(C)C)c(Cl)c3)s1)CCN(CCC(=O)O)C2,Activity,,,,CHEMBL3772769,Mutagenicity in Salmonella typhimurium by Ames test,T,BAO_0000218,organism-based format,CHEMBL3769384,Scientific Literature,J Med Chem,2016.0,Non-toxic
CHEMBL1950289,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,Activity,,,,CHEMBL1955680,Mutagenic activity in Salmonella Typhimurium by Ames test,T,BAO_0000218,organism-based format,CHEMBL1949521,Scientific Literature,Bioorg Med Chem Lett,2012.0,Non-toxic
CHEMBL3215850,Cc1c(Cl)cccc1N1CCN(CCCNC(=O)c2nc(-c3ccccc3)n(-c3ccccc3)c2Cn2cncn2)CC1.Cl.Cl.Cl,Activity,,,,CHEMBL1827884,Mutagenic activity in Salmonella Typhimurium TA 100 assessed by AMES test after 48 hrs,T,BAO_0000218,organism-based format,CHEMBL1821711,Scientific Literature,J Med Chem,2011.0,Non-toxic
CHEMBL418052,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,Activity,,,,CHEMBL1820854,Binding affinity to 2-amino purine labelled SAM2 riboswitch aptamer assessed as change in fluorescence at 5 mM to 10 mM at pH 8.3 by fluorescence binding assay,B,BAO_0000225,nucleic acid format,CHEMBL1817644,Scientific Literature,Bioorg Med Chem Lett,2011.0,Not Active
CHEMBL2206420,Cc1nc2ccc3c(=O)cc(-c4ccc(N5CCCC5)cc4)oc3c2[nH]1,Activity,,,,CHEMBL2214406,Genotoxicity in human HepG2 cells assessed as micronuclei formation at 50 uM after 24 hrs by DAPI staining,T,BAO_0000219,cell-based format,CHEMBL2203249,Scientific Literature,J Med Chem,2012.0,Non-toxic
CHEMBL3764456,O=Cc1ccc(-c2ccccc2)s1,Activity,,,,CHEMBL3766523,Induction of DNA intercalation with Candida albicans genomic DNA at 25 ug/ml after 12 hrs by ethidium bromide staining based gel electrophoresis method,B,BAO_0000019,assay format,CHEMBL3763135,Scientific Literature,Bioorg Med Chem,2016.0,Not Active
CHEMBL3410223,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(OC(F)(F)F)cc1,Activity,,,,CHEMBL3412501,Genotoxicity in mouse L5178Ytk+/- cells assessed as occurrence of micronucleation event measured with metabolic activation at 70 ug/ml after 24 hrs by fluorescence/light microscopy with phase contrast,T,BAO_0000219,cell-based format,CHEMBL3407448,Scientific Literature,J Med Chem,2015.0,Non-toxic
CHEMBL3410224,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(F)cc1F,Activity,,,,CHEMBL3412501,Genotoxicity in mouse L5178Ytk+/- cells assessed as occurrence of micronucleation event measured with metabolic activation at 70 ug/ml after 24 hrs by fluorescence/light microscopy with phase contrast,T,BAO_0000219,cell-based format,CHEMBL3407448,Scientific Literature,J Med Chem,2015.0,Non-toxic
CHEMBL3410207,C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,Activity,,,,CHEMBL3412497,Mutagenicity in Salmonella typhimurium TA98 after 2 days by Ames test in presence of rat liver S9 fraction,T,BAO_0000218,organism-based format,CHEMBL3407448,Scientific Literature,J Med Chem,2015.0,Non-toxic
CHEMBL1599132,Cc1nc(O)c(C(=O)/C=C/c2ccccc2F)c2c1CCCC2,Activity,'=',6.418,um,CHEMBL1738021,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (Ba/F3 cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1597766,C#CCSc1nsc(SCC#C)c1C#N,Activity,'>',40.0,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,inactive
CHEMBL1472103,O=C(CCl)NCc1cc(-c2ccc(Cl)cc2)no1,Activity,'=',7.68,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1716621,Cc1ccc(C=CC(=O)c2c3c(c(C)[nH]c2=O)CCCC3)cc1,Activity,'=',23.9,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1411125,COc1cc(/C=C2\COC/C(=C\c3ccc(O)c(OC)c3)C2=O)ccc1O,Activity,'=',7.861,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1734548,Cc1cccc(OCC(=O)Nc2ccc(O)cc2)c1,Activity,'>',40.0,um,CHEMBL1738020,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: JAK2V617F Inhibition",U,BAO_0000019,assay format,CHEMBL1201862,PubChem BioAssays,,,inactive
CHEMBL1701992,Cc1[nH]c(=O)c(C(=O)C=Cc2ccccc2Cl)c2c1CCCC2,Activity,'=',0.13,um,CHEMBL1738020,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: JAK2V617F Inhibition",U,BAO_0000019,assay format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL1504111,COc1ccc(Cl)cc1NC(=O)NC(C)c1ccncc1,Activity,'>',40.0,um,CHEMBL1738020,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: JAK2V617F Inhibition",U,BAO_0000019,assay format,CHEMBL1201862,PubChem BioAssays,,,inactive
CHEMBL1725330,Cc1[nH]c(=O)c(C(=O)C=Cc2cccc(Br)c2)c2c1CCCC2,Activity,'=',0.59,um,CHEMBL1738021,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (Ba/F3 cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL7463,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,Activity,,,,CHEMBL1049451,Inhibition of heptamerization of Bacillus anthracis anthrax protective antigen in TEM2 expressing CHO cells,B,BAO_0000219,cell-based format,CHEMBL1152503,Scientific Literature,Bioorg Med Chem,2009.0,Not Active
CHEMBL425949,CN(C)Cc1ccn2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nc2c1,Activity,,,,CHEMBL865689,Antibacterial activity against Salmonella Typhimurium TA98 at 3000 ug/plate by Ames microbial mutagenesis assay,F,BAO_0000218,organism-based format,CHEMBL1146986,Scientific Literature,Bioorg Med Chem Lett,2006.0,Active
CHEMBL2372269,CC[C@H](C)[C@@H]1OC(=O)[C@@H](C)[C@@H](CC)NC(=O)[C@H](C)N(C)C(=O)C(C)(C)C(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)CNC(=O)[C@H](CC(C)C)N(C)C(=O)CNC1=O,Activity,,,,CHEMBL1006838,"Necrosis in iv dosed mouse assessed as inflamed, bloody, upper GI tract with pancreatic damage and hemorrhage in lungs",A,BAO_0000218,organism-based format,CHEMBL1150960,Scientific Literature,J Nat Prod,1998.0,Toxic
CHEMBL2172700,O=C1c2ccccc2C(=O)N1Cc1c(-c2ccccc2)no[n+]1[O-],Activity,,,,CHEMBL3082535,Stimulation of plant growth parameters in Triticum aestivum (wheat) assessed as increase in length of the first leaf at 50 mol/ha,F,BAO_0000218,organism-based format,CHEMBL3044699,Scientific Literature,J Agric Food Chem,2000.0,Active
CHEMBL520710,CC(C)(C)C(=O)OCOP(=O)(COC(CO)Cn1cnc(N)nc1=O)OCOC(=O)C(C)(C)C,Activity,,,,CHEMBL995366,Antiviral activity against Camelpox virus CML1 infected in HEL299 cells assessed as reduction in viral titer after 6 days postinfection by virus yield reduction assay,F,BAO_0000218,organism-based format,CHEMBL1137668,Scientific Literature,Antimicrob Agents Chemother,2007.0,Dose-dependent effect
CHEMBL483890,C[C@H](COC1=CC(N)N(O)C(N)=N1)OCP(=O)(O)O,Activity,,,,CHEMBL995368,Antiviral activity against Camelpox virus CML1 infected in human PHK assessed as reduction in viral titer after 6 days postinfection by virus yield reduction assay,F,BAO_0000218,organism-based format,CHEMBL1137668,Scientific Literature,Antimicrob Agents Chemother,2007.0,Dose-dependent effect
CHEMBL293749,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,Activity,'=',5.15,um,CHEMBL1738019,"PUBCHEM_BIOASSAY: Late stage results from the probe development effort to identify inhibitors of the Janus kinase 2 mutant JAK2V617F. (Class of assay: screening) [Related pubchem assays (depositor defined):AID1446, AID1486, AID1520, AID1521, AID1691, AID1699, AID1797] Panel member name: irf1 Inhibition (HEL cells)",U,BAO_0000219,cell-based format,CHEMBL1201862,PubChem BioAssays,,,Active
CHEMBL2153345,CCNc1n[n+]([O-])c2cc3c(cc2[n+]1[O-])CCC3,Activity,,,,CHEMBL2157646,Mutagenicity against mouse L5178Y cells at 10 ug/mL after 4 hrs by MOLY assay in absence of S9 fraction,T,BAO_0000219,cell-based format,CHEMBL2150981,Scientific Literature,J Med Chem,2012.0,Toxic
CHEMBL2153345,CCNc1n[n+]([O-])c2cc3c(cc2[n+]1[O-])CCC3,Activity,,,,CHEMBL2157650,Mutagenicity against mouse L5178Y cells at 25 ug/mL after 24 hrs by MOLY assay in absence of S9 fraction,T,BAO_0000219,cell-based format,CHEMBL2150981,Scientific Literature,J Med Chem,2012.0,Not Determined
CHEMBL2153352,[O-][n+]1nc(N2CCCC2)[n+]([O-])c2cc3c(cc21)CCC3,Activity,,,,CHEMBL2157649,Mutagenicity against mouse L5178Y cells at 25 ug/mL after 4 hrs by MOLY assay in absence of S9 fraction,T,BAO_0000219,cell-based format,CHEMBL2150981,Scientific Literature,J Med Chem,2012.0,Non-toxic
CHEMBL2153241,O=[N+]([O-])c1cn(-c2ccc(Cl)c(Cl)c2)cn1,Activity,,,,CHEMBL2154519,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA98NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,T,BAO_0000218,organism-based format,CHEMBL2150875,Scientific Literature,Eur J Med Chem,2011.0,Non-toxic
CHEMBL2153243,O=[N+]([O-])c1cn(-c2ccc(F)c(Cl)c2)cn1,Activity,,,,CHEMBL2154519,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA98NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,T,BAO_0000218,organism-based format,CHEMBL2150875,Scientific Literature,Eur J Med Chem,2011.0,Non-toxic
CHEMBL2153117,O=[N+]([O-])c1cn(-c2ccc(OC(F)(F)F)cc2)cn1,Activity,,,,CHEMBL2154512,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA100NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,T,BAO_0000218,organism-based format,CHEMBL2150875,Scientific Literature,Eur J Med Chem,2011.0,Non-toxic
CHEMBL2153241,O=[N+]([O-])c1cn(-c2ccc(Cl)c(Cl)c2)cn1,Activity,,,,CHEMBL2154520,Mutagenicity in Salmonella typhimurium TA102 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,T,BAO_0000218,organism-based format,CHEMBL2150875,Scientific Literature,Eur J Med Chem,2011.0,Non-toxic
CHEMBL2151060,O=[N+]([O-])c1cn(-c2ccccc2OC(F)(F)F)cn1,Activity,,,,CHEMBL2154522,Mutagenicity in Salmonella typhimurium TA102 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,T,BAO_0000218,organism-based format,CHEMBL2150875,Scientific Literature,Eur J Med Chem,2011.0,Non-toxic
