StdInChIKey,Smiles,LogS,T,Source,REF1,REF2,REF3,REF4,REF5
DPSPPJIUMHPXMA-UHFFFAOYSA-N,Fc1cc2c(=O)c(C(=O)O)cn3C(C)CCc(c23)c1,-3.7326,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DQJCHOQLCLEDLL-UHFFFAOYSA-N,Cc1c2n3c(sc2ccc1)nnc3,-2.07,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DQWPFSLDHJDLRL-UHFFFAOYSA-N,P(=O)(OCC)(OCC)OCC,0.43,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DQZCVNGCTZLGAQ-UHFFFAOYSA-N,O=C(N(C)C)NC1CCCCCCC1,-2.36,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DRLFMBDRBRZALE-UHFFFAOYSA-N,O=C(NCCc1c2c([nH]c1)ccc(OC)c2)C,-5.094,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DRUIESSIVFYOMK-UHFFFAOYSA-N,ClC(Cl)(Cl)C#N,-2.17,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DSBMOVYUOIIPDK-UHFFFAOYSA-N,O=C1N(Cc2ccccc2)C(=O)NC1(C)C,-1.795,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DSKJPMWIHSOYEA-UHFFFAOYSA-N,S(=O)(=O)(Oc1c(CCCC)c(C)nc(NCC)n1)N(C)C,-4.16,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DSRNRYQBBJQVCW-UHFFFAOYSA-N,Clc1c(OC)ccc(NC(=O)N(C)C)c1,-2.56,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DSSYKIVIOFKYAU-UHFFFAOYSA-N,O=C1C2(C)C(C)(C)C(C1)CC2,-1.95466,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
DTGKSKDOIYIVQL-UHFFFAOYSA-N,OC1C2(C)C(C)(C)C(C1)CC2,-2.32,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DTMRKGRREZAYAP-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1,-9.159894,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
DVQVBLBKEXITIK-UHFFFAOYSA-N,S(=O)(=O)(Nc1sc(C(C)(C)C)nn1)c1ccc(N)cc1,-3.74,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DVVGIUUJYPYENY-UHFFFAOYSA-N,O=c1n(C)cccc1,0.96,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DWEPFAMAQPVFBH-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)CCC(O)c2c1,-1.348,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DXXVCXKMSWHGTF-UHFFFAOYSA-N,Clc1c(Oc2cc(OC)c([N+](=O)[O-])cc2)ccc(Cl)c1,-5.906,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DYDNPESBYVVLBO-UHFFFAOYSA-N,O=CNc1ccccc1,-0.68,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DZMDPHNGKBEVRE-UHFFFAOYSA-N,ClCCCCCCC,-3.99,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DZQVFHSCSRACSX-UHFFFAOYSA-N,S(=O)(=O)(Nc1ncc(C)cn1)c1ccc(N)cc1,-2.82,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DZTHIGRZJZPRDV-UHFFFAOYSA-N,O=C(O)C(NC(=O)C)Cc1c2c([nH]c1)cccc2,-2.31,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
DZZWHBIBMUVIIW-DTORHVGOSA-N,Fc1c(N2C[C@@H](C)N[C@@H](C)C2)c(F)c2n(C3CC3)cc(C(=O)O)c(=O)c2c1N,-3.3711,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FBPFZTCFMRRESA-UHFFFAOYSA-N,OC(C(O)C(O)CO)C(O)CO,1.09,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FCYQIDFMSYIAEB-UHFFFAOYSA-N,O(COc1c2OC3C(O)CCC4C53c2c(cc1)CC4N(C)CC5)C,-1.959,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FDDDEECHVMSUSB-UHFFFAOYSA-N,S(=O)(=O)(N)c1ccc(N)cc1,-1.38663,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
FDPIMTJIUBPUKL-UHFFFAOYSA-N,O=C(CC)CC,-0.28,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FEFQUIPMKBPKAR-UHFFFAOYSA-N,O=C(N1C(=O)CCCCC1)c1ccccc1,-2.167,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FEMZVDSBIXDODB-UHFFFAOYSA-N,Fc1c(N2CC(N)(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-5.639,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FERIUCNNQQJTOY-UHFFFAOYSA-N,O=C(O)CCC,-0.19,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FFEARJCKVFRZRR-UHFFFAOYSA-N,S(CCC(N)C(=O)O)C,-0.42,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FFGPTBGBLSHEPO-UHFFFAOYSA-N,O=C(N)N1c2c(cccc2)C=Cc2c1cccc2,-3.07931,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
FGLBSLMDCBOPQK-UHFFFAOYSA-N,O=[N+]([O-])C(C)C,-0.62,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
FHADSMKORVFYOS-UHFFFAOYSA-N,OC1CCCCCCC1,-1.29,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FLVIGYVXZHLUHP-UHFFFAOYSA-N,S=C(NCC)NCC,-1.46,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FMGSKLZLMKYGDP-USOAJAOKSA-N,O=C1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC3)C[C@@H](O)CC4)CC2)CC1,-4.06153,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
FMINYZXVCTYSNY-UHFFFAOYSA-N,O=C(N(C)c1ccccc1)NC(C)(C)c1ccccc1,-3.35,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FMKMKBLHMONXJM-UHFFFAOYSA-N,Nc1n(c2ccccc2)nc(C)c1,-0.938,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FNFPHNZQOKBKHN-UHFFFAOYSA-N,O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)C(O)C2)CC1)CC(C)(C)C,-5.51,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FNROXVCRPXYLRT-UHFFFAOYSA-N,O=C(N(C)C)CCCOC(=O)c1ccccc1,-1.229,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FOANIXZHAMJWOI-UHFFFAOYSA-N,Brc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Br)cc2)cc1,-4.93,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FOCAUTSVDIKZOP-UHFFFAOYSA-N,ClCC(=O)O,0.944261,NA,ONSchallenge,http://www.chemspider.com/Chemical-Structure.10772140.html,http://dx.doi.org/10.1021/ci800406y,,,
FOIBFBMSLDGNHL-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl,-12.790485,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FPQJEXTVQZHURJ-UHFFFAOYSA-N,O=C(NCCO)C(=O)NCCO,-0.112,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FRDAATYAJDYRNW-UHFFFAOYSA-N,OC(CC)(CC)C,-0.38,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
FRQUNVLMWIYOLV-UHFFFAOYSA-N,Clc1c(Cl)c(OC)ccc1Cl,-4.29,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FSCWZHGZWWDELK-UHFFFAOYSA-N,Clc1cc(Cl)cc(N2C(=O)C(C=C)(C)OC2=O)c1,-4.93,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FSERHDPEOFYMMK-UHFFFAOYSA-N,Brc1cc2c(CN(C)C)c[nH]c2cc1,-4.0552,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FSVJFNAIGNNGKK-UHFFFAOYSA-N,O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,-3.193,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,,,,
FTOVXSOBNPWTSH-UHFFFAOYSA-N,c12c3c4c(cc1c1c(c2ccc3)cccc1)cccc4,-8.230032,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FUKCEEDRHGCYHH-UHFFFAOYSA-N,O=C(NCCCC)COC(=O)c1ccccc1,-2.759,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FULZLIGZKMKICU-UHFFFAOYSA-N,S=C(Nc1ccccc1)N,-1.77,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FUUHMSUPRUNWRQ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(OC)c1Cl,-5.26,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FVSKHRXBFJPNKK-UHFFFAOYSA-N,N#CCC,0.28,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
FXHOOIRPVKKKFG-UHFFFAOYSA-N,O=C(N(C)C)C,1.11,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
FZBXGZBXWFNCQY-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCCCCC1,-2.542,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
FZSVSABTBYGOQH-UHFFFAOYSA-N,S(CC(=NOC(=O)NC)C(C)(C)C)C,-1.62,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GABQNAFEZZDSCM-UHFFFAOYSA-N,O=C(OCC=Cc1ccccc1)c1c(N)cccc1,-6.042,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GBDZXPJXOMHESU-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)ccc1Cl,-4.63015,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
GBROPGWFBFCKAG-UHFFFAOYSA-N,c12c3c(c4c(cc3)cccc4)ccc1c1c(cc2)cccc1,-7.869988,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GCKMFJBGXUYNAG-HLXURNFRSA-N,O=C1C=C2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@](O)(C)CC4)CC3)CC2)CC1,-3.97988,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
GCNTZFIIOFTKIY-UHFFFAOYSA-N,Oc1ccncc1,1.02,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GCQZFVAHUZIDRP-UHFFFAOYSA-N,S(=O)(=O)(Nc1ccc(S(=O)(=O)N)cc1)c1ccc(N)cc1,-2.759,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GECHUMIMRBOMGK-UHFFFAOYSA-N,S(=O)(=O)(Nc1ncccc1)c1ccc(N)cc1,-2.81913,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1016/j.molliq.2012.11.001,http://dx.doi.org/10.1021/ci800406y,
GEDIWDLJKRKBFT-UHFFFAOYSA-N,O=C(Oc1n(c2ccccc2)nc(C)c1)N(C)C,-2.09,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GETQZCLCWQTVFV-UHFFFAOYSA-N,N(C)(C)C,0.84,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GEYOCULIXLDCMW-UHFFFAOYSA-N,Nc1c(N)cccc1,-0.42,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GFBKOADVXIDVBA-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)OCCCC)N,-1.038,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GGLIEWRLXDLBBF-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)N,-2.17,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GILNGPKTMRSQDW-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCCC1,-1.568,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GIUGGRUEPHPVNR-UHFFFAOYSA-N,Clc1cc2Oc3c(Oc2cc1)cccc3,-5.87,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GKEUODMJRFDLJY-UHFFFAOYSA-N,Cc1c2c(c3c(cccc3)C2)ccc1,-5.22,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
GKRZNOGGALENQJ-UHFFFAOYSA-N,O=C(NC(=O)C)N,-0.9,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GLDOVTGHNKAZLK-UHFFFAOYSA-N,OCCCCCCCCCCCCCCCCCC,-8.400008,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GLUUGHFHXGJENI-UHFFFAOYSA-N,N1CCNCC1,1.07,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GMVJKSNPLYBFSO-UHFFFAOYSA-N,Brc1c(Br)cccc1Br,-5.054741,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
GNHMRTZZNHZDDM-UHFFFAOYSA-N,ClCCC#N,-0.29,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GOHBXWHNJHENRX-UHFFFAOYSA-N,Cc1c2c(c3c(c1)cccc3)ccc1c2cccc1,-6.589999,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GPTONYMQFTZPKC-UHFFFAOYSA-N,S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,-2.58,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GRFNBEZIAWKNCO-UHFFFAOYSA-N,Oc1cnccc1,-0.46,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GRWAIJBHBCCLGS-UHFFFAOYSA-N,O=C(O)Cn1nnnc1,0.083568,NA,ONSchallenge,http://goo.gl/J0JLC,,,,
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,Fc1c(N2CCN(C)CC2)c2OCC(C)n3c2c(c(=O)c(C(=O)O)c3)c1,-1.2655,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GTCAXTIRRLKXRU-UHFFFAOYSA-N,O=C(OC)N,0.97,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GUGOEEXESWIERI-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCN(CCCC(O)c2ccc(C(C)(C)C)cc2)CC1,-4.871,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,,,,
GVEPBJHOBDJJJI-UHFFFAOYSA-N,c12c3cccc1c1c(c2ccc3)cccc1,-5.945064,NA,ONSchallenge,http://dx.doi.org/10.1016/S0378-3812(02)00077-8,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
GWDYJKXSUSPLEA-UHFFFAOYSA-N,O=c1nc(c2ccccc2)oc2c1cccc2,-4.61,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GWOFUCIGLDBNKM-UHFFFAOYSA-N,Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1,-4.55319,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,http://dx.doi.org/10.1021/ci800406y,,,
GWUSZQUVEVMBPI-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=NCC(=O)N(C)c2cc1)c1ccccc1,-3.8,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GXEKYRXVRROBEV-UHFFFAOYSA-N,O=C(O)C1C(C(=O)O)C2OC1CC2,-0.27,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GYFAGKUZYNFMBN-UHFFFAOYSA-N,c12c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6,-9.030118,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GYMFBYTZOGMSQJ-UHFFFAOYSA-N,Cc1cc2c(cc3c(c2)cccc3)cc1,-6.959999,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
GYTMHWVFKHLDEA-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(C)cc2)c1,-4.449,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HAPOJKSPCGLOOD-UHFFFAOYSA-N,c12c(cc3c(c4c(cccc4)C3)c1)cccc2,-8.040005,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HAXBIWFMXWRORI-UHFFFAOYSA-N,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2,-8.489991,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HCFSGRMEEXUOSS-UHFFFAOYSA-N,O=C(C)C1(C)C2(C)C(C3C=C(C)C4=CC(=O)CCC4(C)C3CC2)CC1,-5.27,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HDWIHXWEUNVBIY-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,-3.59,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HDZGCSFEDULWCS-UHFFFAOYSA-N,N(N)C,1.34,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HEZNVIYQEUHLNI-UHFFFAOYSA-N,S(CC)Cc1c(OC(=O)NC)cccc1,-2.09,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HFBWPRKWDIRYNX-UHFFFAOYSA-N,Clc1nc(N(CC)CC)nc(NCC)n1,-4.06,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HFHZKZSRXITVMK-UHFFFAOYSA-N,O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccc(O)cc1,-3.73,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HHMCAJWVGYGUEF-UHFFFAOYSA-N,FC(F)(F)c1cc([N+](=O)[O-])c(Oc2ccc([N+](=O)[O-])cc2)cc1,-5.22,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HHOSMYBYIHNXNO-UHFFFAOYSA-N,C(CCC(C)C)(C)(C)C,-5.05,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HJUFTIJOISQSKQ-UHFFFAOYSA-N,O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1,-4.69948,NA,ONSchallenge,http://pmep.cce.cornell.edu/profiles/extoxnet/dienochlor-glyphosate/fenoxycarb-ext.html,http://dx.doi.org/10.1021/ci800406y,,,
HKMTVMBEALTRRR-UHFFFAOYSA-N,c12c(ccc3c4c(cccc4)Cc13)cccc2,-6.679999,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HKOOXMFOFWEVGF-UHFFFAOYSA-N,N(N)c1ccccc1,0.07,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HKPHPIREJKHECO-UHFFFAOYSA-N,ClCC(=O)N(COCCCC)c1c(CC)cccc1CC,-4.1915,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HLQDGCWIOSOMDP-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(c1Cl)c1ccccc1,-7.160001,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,OCCCCCCCCCCCCCC,-6.105868,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HMIBKHHNXANVHR-UHFFFAOYSA-N,S(C(=O)N(C)C)CCCCOc1ccccc1,-3.93,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HMSWAIKSFDFLKN-UHFFFAOYSA-N,C(CCCCCCCCCCCCC)CCCCCCCCCCCC,-8.330032,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HNDVDQJCIGZPNO-YFKPBYRVSA-N,O=C(O)[C@@H](N)Cc1[nH]cnc1,-0.56543,NA,ONSchallenge,NA,,,,
HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1NCCC1,1.07,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HOQADATXFBOEGG-UHFFFAOYSA-N,S=P(OCC)(Oc1c(C(=O)OC(C)C)cccc1)NC(C)C,-4.19,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HORNXRXVQWOLPJ-UHFFFAOYSA-N,Clc1cc(O)ccc1,-0.7,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HPQURZRDYMUHJI-UHFFFAOYSA-N,C(CCC1CCCC1)CC,-6.08,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,-0.44,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HPYNZHMRTTWQTB-UHFFFAOYSA-N,Cc1c(C)cccn1,0.38,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HRBKVYFZANMGRE-UHFFFAOYSA-N,Clc1c(Cl)cc(Cl)c(OP(=S)(OC)OC)n1,-4.82,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HRPVXLWXLXDGHG-UHFFFAOYSA-N,O=C(N)C=C,0.970115,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HRVUKLBFRPWXPJ-UHFFFAOYSA-N,Clc1c(Cl)cc(Cl)c2Oc3c(Oc12)cccc3,-7.596665,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HSFWRNGVRCDJHI-UHFFFAOYSA-N,C#C,0.29,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HUPFGZXOMWLGNK-UHFFFAOYSA-N,Fc1c(c2cc(C(=O)O)c(O)cc2)ccc(F)c1,-4.114,NA,ONSchallenge,http://www.springerlink.com/content/um5p375020237780/,,,,
HUTDUHSNJYTCAR-UHFFFAOYSA-N,O(C)c1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.6,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HWHLPVGTWGOCJO-UHFFFAOYSA-N,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,-1.815,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HWWYDZCSSYKIAD-UHFFFAOYSA-N,Cc1cc(C)cnc1,0.38,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=Cc1occc1,-0.1,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HYIMSNHJOBLJNT-UHFFFAOYSA-N,O=[N+]([O-])c1c(C2C(=C(C)NC(=C2C(=O)OC)C)C(=O)OC)cccc1,-4.63622,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
HYJSGOXICXYZGS-UHFFFAOYSA-N,Clc1c2n(CC(=O)O)c(=O)sc2ccc1,-2.61,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HYVMOJOTZLNZPF-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCS(=O)(=O)c2c1,-3.671,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
HYWYRSMBCFDLJT-UHFFFAOYSA-N,S(=O)(=O)(Nc1c(Oc2ccccc2)cc([N+](=O)[O-])cc1)C,-4.489,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
IAIWVQXQOWNYOU-UHFFFAOYSA-N,O=[N+]([O-])c1oc(C=NNC(=O)N)cc1,-2.92,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
IAKOZHOLGAGEJT-UHFFFAOYSA-N,ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1,-6.589107,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,
IDCPFAYURAQKDZ-UHFFFAOYSA-N,O=[N+]([O-])NC(=N)N,-1.37,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
IDOWTHOLJBTAFI-UHFFFAOYSA-N,O=C(OC)Nc1cc(OC(=O)Nc2cc(C)ccc2)ccc1,-4.789885,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IFEKQNAXDMZERW-UHFFFAOYSA-N,O=C(O)C(N)Cc1n[nH]c2c1cccc2,-1.407,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
IFLREYGFSNHWGE-UHFFFAOYSA-N,c12c(cc3c(c1)cccc3)cc1c(c2)cccc1,-8.59998,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,http://dx.doi.org/10.1021/ci800406y,,,
IGEMDIAQXSOCKX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(O)cc2)c1,-3.027,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
IIZIPXWXNPFUOU-UHFFFAOYSA-N,O=C(N(CCO)CC)COC(=O)c1ccccc1,-1.367,NA,ONSchallenge,http://dx.doi.org/10.1021/ci800406y,,,,
