Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
CHEMBL4574479,Cc1cc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)c(C)s1,PPB,'=',60.0,%,CHEMBL4323187,Protein binding in CD1 mouse plasma after 2 hrs by HPLC analysis relative to control,A,BAO_0000366,cell-free format,CHEMBL4321818,Scientific Literature,J Med Chem,2019.0,CD1 Mouse,,2 hrs,HPLC,,True
CHEMBL4466447,Cc1ccc(S(=O)(=O)NC[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)s1,PPB,'=',60.0,%,CHEMBL4323187,Protein binding in CD1 mouse plasma after 2 hrs by HPLC analysis relative to control,A,BAO_0000366,cell-free format,CHEMBL4321818,Scientific Literature,J Med Chem,2019.0,CD1 Mouse,,2 hrs,HPLC,,True
CHEMBL4550640,C[C@@H]1O[C@H](CNS(=O)(=O)c2ccc(C#Cc3ccccc3)s2)[C@@H](O)[C@H](O)[C@@H]1O,PPB,'=',60.0,%,CHEMBL4323187,Protein binding in CD1 mouse plasma after 2 hrs by HPLC analysis relative to control,A,BAO_0000366,cell-free format,CHEMBL4321818,Scientific Literature,J Med Chem,2019.0,CD1 Mouse,,2 hrs,HPLC,,True
CHEMBL4211506,COc1cc(F)c2c(Nc3ccc(NC(=O)Cn4cc(C(C)C)nn4)cc3)ncnc2c1,PPB,'=',99.7,%,CHEMBL4201686,Protein binding in dog plasma,A,BAO_0000366,cell-free format,CHEMBL4196201,Scientific Literature,J Med Chem,2018.0,Dog,,,,,True
CHEMBL4204438,CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4c3)cc2)CC1,PPB,'=',90.33,%,CHEMBL4189511,Protein binding in mouse plasma at 1 mM after 5 hrs by LC-MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4184320,Scientific Literature,J Med Chem,2018.0,Mouse Plasma,1 mM,5 hrs,LC-MS/MS,,True
CHEMBL4211649,N#Cc1ccc(-c2cnc3ccc(-c4ccc(C(=O)N5CCOCC5)cc4)cn23)cc1,PPB,'=',99.7,%,CHEMBL4189510,Protein binding in human plasma at 1 mM after 5 hrs by LC-MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4184320,Scientific Literature,J Med Chem,2018.0,Human Plasma,1 mM,5 hrs,LC-MS/MS,,True
CHEMBL4214282,CC[Si](CC)(CC)c1ccc(N2[C@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)CC[C@H]2c2ccc(NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)OC)C(C)C)cc2)cc1,PPB,'=',99.99,%,CHEMBL4196946,Protein binding in dog plasma at 10 uM after 6 hrs by UPLC-MS/MS based equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4196017,Scientific Literature,Eur J Med Chem,2018.0,Dog Plasma,10 uM,6 hrs,UPLC-MS/MS,Equilibrium Dialysis,True
CHEMBL360500,COC(=O)c1cccn1-c1ccc(CNc2nccc(C)c2NC(=O)CC#N)cc1,PPB,'=',81.0,%,CHEMBL839458,Protein binding using 10% human serum,A,BAO_0000019,assay format,CHEMBL1142801,Scientific Literature,Bioorg Med Chem Lett,2005.0,Human Serum,,,,,True
CHEMBL548646,c1cncc(-c2cc(N3CCc4ccccc4C3)nc(-c3ccncc3)n2)c1,PPB,'=',92.0,%,CHEMBL4478736,Protein binding in CD1 mouse plasma at 10 ug/mL after 5 hrs by UPLC-MS/MS analysis based equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4477219,Scientific Literature,J Med Chem,2016.0,CD1 Mouse Plasma,10 ug/mL,5 hrs,UPLC-MS/MS,Equilibrium Dialysis,True
CHEMBL186534,COc1cccc(CNC(=O)c2ccc([N+](=O)[O-])o2)c1OC,PPB,'=',64.36,%,CHEMBL839457,The protein binding is expressed as percent bound as determined by VolSurf,A,BAO_0000019,assay format,CHEMBL1138787,Scientific Literature,J Med Chem,2004.0,,,,VolSurf,,False
CHEMBL4129146,Cc1cc(C#N)ccc1-c1cnn2c1C[C@@H](O)C2,PPB,'=',59.0,%,CHEMBL4124791,Protein binding in monkey plasma at 10 uM by LC-MS/MS based rapid equilibrium dialysis,A,BAO_0000366,cell-free format,CHEMBL4118250,Scientific Literature,J Med Chem,2018.0,Monkey Plasma,10 uM,,LC-MS/MS,Rapid Equilibrium Dialysis,True
CHEMBL4579711,CC(=O)N1CCN(c2ccc(CN3[C@@H](C)CC[C@H](c4ccccc4)S3(=O)=O)c(F)c2)CC1,PPB,'=',95.0,%,CHEMBL4480199,Protein binding in human plasma by equilibrium dialysis,A,BAO_0000366,cell-free format,CHEMBL4477267,Scientific Literature,Bioorg Med Chem Lett,2016.0,Human Plasma,,,Equilibrium Dialysis,Equilibrium Dialysis,True
CHEMBL4579711,CC(=O)N1CCN(c2ccc(CN3[C@@H](C)CC[C@H](c4ccccc4)S3(=O)=O)c(F)c2)CC1,PPB,'=',96.0,%,CHEMBL4480201,Protein binding in mouse plasma by equilibrium dialysis,A,BAO_0000366,cell-free format,CHEMBL4477267,Scientific Literature,Bioorg Med Chem Lett,2016.0,Mouse Plasma,,,Equilibrium Dialysis,Equilibrium Dialysis,True
CHEMBL301301,Cc1c(Cl)nc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(=O)N[C@@H](CC(=O)O)c1cccc(F)c1,PPB,'=',98.5,%,CHEMBL619354,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL1136398,Scientific Literature,Bioorg Med Chem Lett,2003.0,Human,,,,,True
CHEMBL433063,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCCC(Nc4ccccc4)C3)cc2)cc1,PPB,'=',99.8,%,CHEMBL768724,Percentage binding to plasma protein.,A,BAO_0000366,cell-free format,CHEMBL1133883,Scientific Literature,Bioorg Med Chem Lett,2001.0,,,,,,False
CHEMBL4078293,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2,PPB,'=',87.2,%,CHEMBL4023876,Protein binding in hamster plasma at 2 uM after 4 to 6 hrs by LC-MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4020832,Scientific Literature,J Med Chem,2018.0,Hamster Plasma,2 uM,4 to 6 hrs,LC-MS/MS,,True
CHEMBL599,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,PPB,'=',99.0,%,CHEMBL4325785,Protein binding in plasma (unknown origin),A,BAO_0000366,cell-free format,CHEMBL4321884,Scientific Literature,J Med Chem,2020.0,,,,,,True
CHEMBL4276884,O=C(NCc1ccc(OC(F)(F)F)c(Cl)c1)c1ccc(S(=O)(=O)Nc2nccs2)c(F)c1,PPB,'=',99.8,%,CHEMBL4257726,Protein binding in rat plasma by equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4257443,Scientific Literature,Medchemcomm,2017.0,Rat Plasma,,,Equilibrium Dialysis,Equilibrium Dialysis,True
CHEMBL3633321,O=C(Cn1cnc([N+](=O)[O-])n1)N1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,PPB,'=',92.4,%,CHEMBL4179611,Protein binding in human plasma at 5 uM after 4 hrs by LC-MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4177599,Scientific Literature,Bioorg Med Chem,2017.0,Human,5 uM,4 hrs,LC-MS/MS,,True
CHEMBL4213168,CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4n3)cc2)CC1,PPB,'=',95.9,%,CHEMBL4189511,Protein binding in mouse plasma at 1 mM after 5 hrs by LC-MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4184320,Scientific Literature,J Med Chem,2018.0,Mouse Plasma,1 mM,5 hrs,LC-MS/MS,,True
CHEMBL3798895,O=C(NCCc1csc(-c2ccccc2)n1)N1CCCCC1,PPB,'=',90.0,%,CHEMBL4718778,Protein binding in human plasma by HPLC-MS analysis,A,BAO_0000366,cell-free format,CHEMBL4715758,Scientific Literature,J Med Chem,2016.0,Human Plasma,,,HPLC-MS,,True
CHEMBL4760884,CCNC(=O)CC1CN(c2ccc(Cl)cc2)c2ccccc2-n2c(C)nnc21,PPB,'=',87.0,%,CHEMBL4716989,Protein binding in rat plasma,A,BAO_0000366,cell-free format,CHEMBL4715706,Scientific Literature,ACS Med Chem Lett,2016.0,Rat,,,,,True
CHEMBL4214282,CC[Si](CC)(CC)c1ccc(N2[C@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)CC[C@H]2c2ccc(NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)OC)C(C)C)cc2)cc1,PPB,'=',99.99,%,CHEMBL4196927,Protein binding in rat plasma at 1 uM after 6 hrs by UPLC-MS/MS based equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4196017,Scientific Literature,Eur J Med Chem,2018.0,Rat Plasma,1 uM,6 hrs,UPLC-MS/MS,Equilibrium Dialysis,True
CHEMBL3127326,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,PPB,'=',100.0,%,CHEMBL4196927,Protein binding in rat plasma at 1 uM after 6 hrs by UPLC-MS/MS based equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4196017,Scientific Literature,Eur J Med Chem,2018.0,Rat Plasma,1 uM,6 hrs,UPLC-MS/MS,Equilibrium Dialysis,True
CHEMBL4172551,COc1c(Nc2ccc(S(C)(=O)=O)cc2F)ncnc1OC1C[C@@H]2COC[C@@H](C1)N2C(=O)OC1(C)CC1,PPB,'=',85.5,%,CHEMBL4149817,Protein binding in human plasma at 10 uM,A,BAO_0000366,cell-free format,CHEMBL4145595,Scientific Literature,ACS Med Chem Lett,2018.0,Human Plasma,10 uM,,,,True
CHEMBL286013,CCC(C)(C)C(=O)O,PPB,'=',45.0,%,CHEMBL4809076,Protein binding in Gottingen minipig plasma at 40 uM incubated for 4 hrs by equilibrium dialysis,A,BAO_0000366,cell-free format,CHEMBL4808180,Scientific Literature,J Med Chem,2021.0,Gottingen minipig,40 uM,4 hrs,,Equilibrium Dialysis,True
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,PPB,'=',24.0,%,CHEMBL4809370,Plasma protein binding in CD1 mouse at 10 uM after 4 hrs by LC-MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4808184,Scientific Literature,J Med Chem,2021.0,CD1 Mouse,10 uM,4 hrs,LC-MS/MS,,True
CHEMBL4868679,C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1c(OCCO)nn3c1CCCC3)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,PPB,'=',95.87,%,CHEMBL4839630,Plasma protein binding in mouse plasma,A,BAO_0000366,cell-free format,CHEMBL4837250,Scientific Literature,J Med Chem,2021.0,Mouse Plasma,,,,,True
CHEMBL4870461,NC(=O)c1ccn(-c2cnc(NCC3(c4ncccc4F)CCC3)nc2)c1,PPB,'=',49.0,%,CHEMBL4845168,Plasma protein binding in human at 5 uM by HPLC analysis,A,BAO_0000366,cell-free format,CHEMBL4842386,Scientific Literature,J Med Chem,2021.0,Human,5 uM,,HPLC,,True
CHEMBL3558130,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cccnc23)c(F)c1,PPB,'=',98.7,%,CHEMBL4338913,Protein binding in dog plasma,A,BAO_0000366,cell-free format,CHEMBL4334546,Scientific Literature,ACS Med Chem Lett,2020.0,Dog,,,,,True
CHEMBL4779994,C[C@@](O)(CS(C)(=O)=O)C(=O)N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12,PPB,'=',0.4,%,CHEMBL4715126,Protein binding in mouse serum assessed as fraction unbound,A,BAO_0000366,cell-free format,CHEMBL4706752,Scientific Literature,ACS Med Chem Lett,2021.0,Mouse,,,,,True
CHEMBL4764394,CC(C)Oc1cc(NC(=O)N2CCCc3cc(CN4CCCC4=O)c(C=O)nc32)ncc1C#N,PPB,'=',99.0,%,CHEMBL4723216,Plasma protein binding in CD1 mouse at 5 uM measured after 4 hrs by LC-MS/MS based rapid equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4715854,Scientific Literature,J Med Chem,2020.0,CD1 Mouse Plasma,5 uM,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
CHEMBL4759211,COCCNc1cc(NC(=O)N2CCCc3cc(CN(C)C(C)=O)c(C=O)nc32)ncc1C#N,PPB,'=',94.8,%,CHEMBL4723218,Plasma protein binding in Wistar Hannover rat at 5 uM measured after 4 hrs by LC-MS/MS based rapid equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4715854,Scientific Literature,J Med Chem,2020.0,Wistar Hannover Rat,5 uM,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
CHEMBL3972276,COCCNc1cc(NC(=O)N2CCCc3cc(CO)c(C=O)nc32)ncc1C#N,PPB,'=',91.0,%,CHEMBL4723219,Plasma protein binding in human at 5 uM measured after 4 hrs by LC-MS/MS based rapid equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4715854,Scientific Literature,J Med Chem,2020.0,Human Plasma,5 uM,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
CHEMBL4795308,COCc1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,PPB,'=',98.1,%,CHEMBL4705933,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4699655,Scientific Literature,J Med Chem,2020.0,Human,,,,,True
CHEMBL4787356,CO[C@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,PPB,'=',97.7,%,CHEMBL4705933,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4699655,Scientific Literature,J Med Chem,2020.0,Human,,,,,True
CHEMBL4781879,COC[C@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,PPB,'=',98.8,%,CHEMBL4705934,Protein binding in rat plasma,A,BAO_0000366,cell-free format,CHEMBL4699655,Scientific Literature,J Med Chem,2020.0,Rat,,,,,True
CHEMBL4748253,CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,PPB,'=',97.0,%,CHEMBL4705934,Protein binding in rat plasma,A,BAO_0000366,cell-free format,CHEMBL4699655,Scientific Literature,J Med Chem,2020.0,Rat,,,,,True
CHEMBL4746044,CO[C@@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,PPB,'=',97.3,%,CHEMBL4705934,Protein binding in rat plasma,A,BAO_0000366,cell-free format,CHEMBL4699655,Scientific Literature,J Med Chem,2020.0,Rat,,,,,True
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,PPB,'=',95.0,%,CHEMBL3537684,Protein binding in plasma (unknown origin),A,BAO_0000366,cell-free format,CHEMBL3525984,Scientific Literature,Drug Metab Dispos,2013.0,,,,,,True
CHEMBL214848,CCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,PPB,'=',83.0,%,CHEMBL856407,protein binding,A,BAO_0000019,assay format,CHEMBL1147984,Scientific Literature,J Med Chem,2007.0,,,,,,True
CHEMBL300771,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CCC(N(Cc4ccccc4)C(C)=O)CC3)cc2)cc1,PPB,'=',98.5,%,CHEMBL768724,Percentage binding to plasma protein.,A,BAO_0000366,cell-free format,CHEMBL1133883,Scientific Literature,Bioorg Med Chem Lett,2001.0,,,,,,False
CHEMBL204021,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,PPB,'=',98.0,%,CHEMBL3821820,Binding affinity to human serum albumin/alpha-1 acidglycoprotein after 6 mins by HPLC method,A,BAO_0000019,assay format,CHEMBL3817751,Scientific Literature,J Med Chem,2016.0,Human Serum Albumin/Alpha-1 Acidglycoprotein,,6 mins,HPLC,,False
CHEMBL298706,Cc1ccc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(=O)N[C@@H](CC(=O)O)c1cccnc1,PPB,'=',91.2,%,CHEMBL619354,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL1136398,Scientific Literature,Bioorg Med Chem Lett,2003.0,Human,,,,,True
CHEMBL4245639,CCOc1cc(-c2nncn2C)ccc1Nc1ncc2cc(C)nc(N3CC(C)(C)C3)c2n1,PPB,'=',99.28,%,CHEMBL4236778,Protein binding in mouse plasma,A,BAO_0000366,cell-free format,CHEMBL4229562,Scientific Literature,J Med Chem,2018.0,Mouse,,,,,True
CHEMBL4239476,CCOc1cc(-c2nncn2C)ccc1Nc1ncc2cc(C)nc(N3CC4(CCOCC4)C3)c2n1,PPB,'=',98.09,%,CHEMBL4236778,Protein binding in mouse plasma,A,BAO_0000366,cell-free format,CHEMBL4229562,Scientific Literature,J Med Chem,2018.0,Mouse,,,,,True
CHEMBL4468753,Nc1nccc(-c2cnn3ncccc23)n1,PPB,'=',58.0,%,CHEMBL4325182,Protein binding in human plasma after 18 hrs by LC/MS/MS based rapid equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4321871,Scientific Literature,J Med Chem,2020.0,Human,,18 hrs,LC/MS/MS,Rapid Equilibrium Dialysis,True
CHEMBL4633246,Cc1c(Cc2ccc(C(F)(F)F)nc2)c[nH]c1C(=O)NC1CC1,PPB,'=',31.5,%,CHEMBL4605435,Protein binding in DMEM medium containing 10% fetal calf serum by LC-MS analysis based ultracentrifugation assay,A,BAO_0000366,cell-free format,CHEMBL4602703,Scientific Literature,J Med Chem,2020.0,,,,LC-MS,,True
CHEMBL4161076,CCn1nccc1Nc1ncnc2ccc(-c3cccc(N4CCOCC4)c3)cc12,PPB,'=',93.9,%,CHEMBL4140735,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4138135,Scientific Literature,Eur J Med Chem,2017.0,Human,,,,,True
CHEMBL4166222,COc1cnc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)cn1,PPB,'=',98.3,%,CHEMBL4140735,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4138135,Scientific Literature,Eur J Med Chem,2017.0,Human,,,,,True
CHEMBL474404,O=C(c1ccc(-c2ccccc2)cc1)N1CCC(c2ncc[nH]2)CC1,PPB,'=',99.9,%,CHEMBL968748,Protein binding in plasma by dialysis method,A,BAO_0000366,cell-free format,CHEMBL1138587,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,,Dialysis,Dialysis,True
CHEMBL4279382,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2C3CCC2CN(C)C3)cn1,PPB,'=',97.0,%,CHEMBL4275080,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4270612,Scientific Literature,Eur J Med Chem,2018.0,Human,,,,,True
CHEMBL4294467,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc(-c3n[nH]c(=O)o3)cnc2N2C3CCC2CN(C)C3)cn1,PPB,'=',78.9,%,CHEMBL4275080,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4270612,Scientific Literature,Eur J Med Chem,2018.0,Human,,,,,True
CHEMBL333928,Nc1nc(OCc2ccccc2)c2[nH]nnc2n1,PPB,'=',87.0,%,CHEMBL4263021,Protein binding in mouse plasma,A,BAO_0000366,cell-free format,CHEMBL4261550,Scientific Literature,Medchemcomm,2017.0,Mouse,,,,,True
CHEMBL473186,CC(C)c1cc(-c2ccc(F)c3ccccc23)nc(N)n1,PPB,'=',99.9,%,CHEMBL968748,Protein binding in plasma by dialysis method,A,BAO_0000366,cell-free format,CHEMBL1138587,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,,Dialysis,Dialysis,True
CHEMBL4457164,Cc1cccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)c(C#N)cc2C(N)=O)c1,PPB,'=',99.0,%,CHEMBL4305539,Protein binding in BALB/c mouse serum at 10 ug/mL incubated for 4 hrs under shaking condition by LC/MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4304751,Scientific Literature,ACS Med Chem Lett,2019.0,BALB/c Mouse Serum,10 ug/mL,4 hrs,LC/MS/MS,,True
CHEMBL1800159,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,PPB,'=',71.0,%,CHEMBL1803307,Plasma protein binding,A,BAO_0000366,cell-free format,CHEMBL1799984,Scientific Literature,J Med Chem,2011.0,,,,,,True
CHEMBL333928,Nc1nc(OCc2ccccc2)c2[nH]nnc2n1,PPB,'=',99.4,%,CHEMBL4329752,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4325921,Scientific Literature,ACS Med Chem Lett,2018.0,Human,,,,,True
CHEMBL4212409,CCc1ccc(-n2ccc(C(F)(F)F)c2COc2ccc(CCC(=O)O)c(F)c2F)cc1,PPB,'=',99.92,%,CHEMBL4188769,Protein binding in rat plasma,A,BAO_0000366,cell-free format,CHEMBL4184291,Scientific Literature,Bioorg Med Chem Lett,2018.0,Rat,,,,,True
CHEMBL4457158,CCC(=O)c1sc(-c2ccc(Cl)cc2)c(C)c1-c1ccc(S(N)(=O)=O)cc1,PPB,'=',98.84,%,CHEMBL4356812,Protein binding in mouse plasma at 5 uM incubated for 16 hrs under shaking condition by LC/MS/MS based rapid equilibrium dialysis method,A,BAO_0000366,cell-free format,CHEMBL4354827,Scientific Literature,J Med Chem,2020.0,Mouse Plasma,5 uM,16 hrs,LC/MS/MS,Rapid Equilibrium Dialysis,True
CHEMBL2147474,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OC[C@H](O)C1CC1,PPB,'=',99.5,%,CHEMBL4430451,Protein binding in human serum,A,BAO_0000366,cell-free format,CHEMBL4428095,Scientific Literature,Bioorg Med Chem Lett,2016.0,Human Serum,,,,,True
CHEMBL4580214,CC(C)(C)C#Cc1cc(N(CC(=O)N2CCOCC2)C(=O)[C@H]2CC[C@H](C)CC2)c(C(=O)O)s1,PPB,'=',90.7,%,CHEMBL4478823,Protein binding in monkey liver at 1 uM,A,BAO_0000221,tissue-based format,CHEMBL4477222,Scientific Literature,J Med Chem,2016.0,Monkey Liver,1 uM,,,,False
CHEMBL4580214,CC(C)(C)C#Cc1cc(N(CC(=O)N2CCOCC2)C(=O)[C@H]2CC[C@H](C)CC2)c(C(=O)O)s1,PPB,'=',86.0,%,CHEMBL4478819,Protein binding in dog liver at 1 uM,A,BAO_0000221,tissue-based format,CHEMBL4477222,Scientific Literature,J Med Chem,2016.0,Dog Liver,1 uM,,,,False
CHEMBL4218772,COCCNc1cc(O)c2c(=O)c3c(-c4nccs4)[nH]c(Cc4ccc5c(c4)OCO5)c3oc2c1,PPB,'=',97.7,%,CHEMBL4200938,Protein binding in human plasma at 1 uM after 4 hrs by LC/MS/MS analysis,A,BAO_0000366,cell-free format,CHEMBL4196172,Scientific Literature,J Med Chem,2018.0,Human Plasma,1 uM,4 hrs,LC/MS/MS,,True
CHEMBL4637258,CCS(=O)(=O)Nc1cc(-c2cn(C)c3c(=O)[nH]ccc23)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1.Cl,PPB,'=',97.98,%,CHEMBL4612564,Protein binding in plasma (unknown origin),A,BAO_0000366,cell-free format,CHEMBL4610112,Scientific Literature,J Med Chem,2020.0,,,,,,True
CHEMBL2105720,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,PPB,'=',98.0,%,CHEMBL4610172,Plasma protein binding in human,A,BAO_0000019,assay format,CHEMBL4609975,Scientific Literature,Eur J Med Chem,2019.0,Human,,,,,True
CHEMBL294405,CO/N=C1/CCCC(C(NS(=O)(=O)c2ccc(-c3ccc(OC)cc3)cc2)C(=O)O)C1,PPB,'=',99.7,%,CHEMBL768724,Percentage binding to plasma protein.,A,BAO_0000366,cell-free format,CHEMBL1133883,Scientific Literature,Bioorg Med Chem Lett,2001.0,,,,,,False
CHEMBL3093132,[11CH3]Oc1ccc(C(=O)CCCCCCC(=O)NO)cc1,PPB,'=',91.5,%,CHEMBL3095754,Protein binding in plasma (unknown origin),A,BAO_0000366,cell-free format,CHEMBL3091385,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,,,,True
CHEMBL4249629,Cc1nc(C)c(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)[nH]1,PPB,'=',47.0,%,CHEMBL4236912,Protein binding in human blood at 1 ug/ml after 4 hrs by LC-MS/MS analysis,A,BAO_0000221,tissue-based format,CHEMBL4229566,Scientific Literature,J Med Chem,2018.0,Human Blood,1 ug/ml,4 hrs,LC-MS/MS,,True
CHEMBL4542354,CC(C)c1c(-c2cnn(C3CCC3)c2)[nH]c2c(C#N)cnn2c1=O,PPB,'=',99.6,%,CHEMBL4427149,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4425149,Scientific Literature,Bioorg Med Chem Lett,2016.0,Human,,,,,True
CHEMBL4587659,CCn1cc(-c2[nH]c3c(C#N)cnn3c(=O)c2C(C)C)cn1,PPB,'=',99.5,%,CHEMBL4427149,Protein binding in human plasma,A,BAO_0000366,cell-free format,CHEMBL4425149,Scientific Literature,Bioorg Med Chem Lett,2016.0,Human,,,,,True
CHEMBL4441819,CCNC(=O)c1c(O)c2ccncc2[nH]c1=O,PPB,'=',70.0,%,CHEMBL4432262,Plasma protein binding in human,A,BAO_0000366,cell-free format,CHEMBL4431331,Scientific Literature,Bioorg Med Chem Lett,2016.0,Human,,,,,True
CHEMBL364555,C[C@@H](NC(=O)c1ccc([N+](=O)[O-])o1)c1ccccc1,PPB,'=',71.13,%,CHEMBL839457,The protein binding is expressed as percent bound as determined by VolSurf,A,BAO_0000019,assay format,CHEMBL1138787,Scientific Literature,J Med Chem,2004.0,,,,VolSurf,,False
CHEMBL188467,COc1cccc2sc(NC(=O)c3ccc([N+](=O)[O-])o3)nc12,PPB,'=',74.3,%,CHEMBL839457,The protein binding is expressed as percent bound as determined by VolSurf,A,BAO_0000019,assay format,CHEMBL1138787,Scientific Literature,J Med Chem,2004.0,,,,VolSurf,,False
