Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year
CHEMBL1092773,CCOC(=O)c1c(-c2cccs2)[nH]c2cc(OC)ccc2c1=O,permeability,'>',1500.0,10^-6 cm/s,CHEMBL1113469,Membrane permeability at 10 uM at pH 4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1156314,Scientific Literature,Bioorg Med Chem,2010.0
CHEMBL1093371,CCOC(=O)c1c(-c2cccc(C(F)(F)F)c2)[nH]c2cc(OC)ccc2c1=O,permeability,'=',500.0,10^-6 cm/s,CHEMBL1113469,Membrane permeability at 10 uM at pH 4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1156314,Scientific Literature,Bioorg Med Chem,2010.0
CHEMBL1089679,CCOC(=O)c1c(-c2ccc(Cl)cc2)[nH]c2cccc(OC)c2c1=O,permeability,'=',50.0,10^-6 cm/s,CHEMBL1113469,Membrane permeability at 10 uM at pH 4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1156314,Scientific Literature,Bioorg Med Chem,2010.0
CHEMBL1092526,COc1ccc2c(=O)cc(-c3ccc4c(c3)OCO4)[nH]c2c1,permeability,'=',50.0,10^-6 cm/s,CHEMBL1113469,Membrane permeability at 10 uM at pH 4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1156314,Scientific Literature,Bioorg Med Chem,2010.0
CHEMBL1093726,CCOC(=O)c1c(-c2cccc(Cl)c2)[nH]c2cc(OC)ccc2c1=O,permeability,'=',500.0,10^-6 cm/s,CHEMBL1113469,Membrane permeability at 10 uM at pH 4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1156314,Scientific Literature,Bioorg Med Chem,2010.0
CHEMBL1089696,CCOC(=O)c1c(-c2cccc(OC)c2)[nH]c2cccc(OC)c2c1=O,permeability,'=',50.0,10^-6 cm/s,CHEMBL1113469,Membrane permeability at 10 uM at pH 4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1156314,Scientific Literature,Bioorg Med Chem,2010.0
CHEMBL1090377,CCOC(=O)c1c(-c2ccccc2C)[nH]c2cccc(OC)c2c1=O,permeability,'=',50.0,10^-6 cm/s,CHEMBL1113469,Membrane permeability at 10 uM at pH 4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1156314,Scientific Literature,Bioorg Med Chem,2010.0
CHEMBL3605508,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@H](Cc3c[nH]cn3)CO2)cc1,permeability,'<',3.0,nm/s,CHEMBL3606712,Permeability by artificial membrane permeability assay,A,BAO_0000019,assay format,CHEMBL3603817,Scientific Literature,J Med Chem,2015.0
CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,permeability,'=',0.5,ucm/s,CHEMBL4255024,Permeability of the compound after 2.5 hrs by PAMPA,A,BAO_0000019,assay format,CHEMBL4251652,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL184,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,permeability,'=',0.1,ucm/s,CHEMBL4255026,Permeability of the compound at 500 uM after 8 hrs by PAMPA,A,BAO_0000019,assay format,CHEMBL4251652,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL4530872,O=C1CN(c2cn[nH]c(=O)c2Cl)CCN1Cc1ccccc1C(F)(F)F,permeability,'=',20.0,10'-6 cm/s,CHEMBL4410999,Permeability across apical to basolateral side in dog MDCK-MDR1 cells,A,BAO_0000219,cell-based format,CHEMBL4406916,Scientific Literature,ACS Med Chem Lett,2019.0
CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,permeability,'=',1.14,10'-4 cm/s,CHEMBL1112937,Effective permeability across human jejunum,A,BAO_0000221,tissue-based format,CHEMBL1158536,Scientific Literature,J Med Chem,2010.0
CHEMBL4641305,CN1CCN(c2ccccc2CNc2cnn(C)c(=O)c2)CC1,permeability,'=',140.0,nm/s,CHEMBL4615395,Permeability by PAMPA,A,BAO_0000019,assay format,CHEMBL4613271,Scientific Literature,J Med Chem,2020.0
CHEMBL4641689,COC(=O)Nc1ccc2c(c1)N[C@@H](C(=O)O)CCCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,permeability,'<',15.0,nm/s,CHEMBL4611641,Permeability across apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4610060,Scientific Literature,Bioorg Med Chem Lett,2020.0
CHEMBL4104056,CC(C)(CCN)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,permeability,'=',255.0,nm/s,CHEMBL4059168,Permeability of the compound at pH 7.4 at 100 uM after 4 hrs by PAMPA,P,BAO_0000100,small-molecule physicochemical format,CHEMBL4052827,Scientific Literature,J Med Chem,2018.0
CHEMBL4068122,c1ccc2c(c1)CN[C@@H](CN(CCCCNC1CCSCC1)[C@H]1CCCc3cccnc31)C2,permeability,'=',46.0,nm/s,CHEMBL4059169,Permeability of the compound at pH 5.5 at 100 uM after 4 hrs by PAMPA,P,BAO_0000100,small-molecule physicochemical format,CHEMBL4052827,Scientific Literature,J Med Chem,2018.0
CHEMBL4634331,N=C(N)Nc1ccc(CNC(=O)[C@@H](NC(=O)c2ccc(Oc3ccccc3)cc2)c2ccc(OCc3ccccc3)cc2)cc1.O=C(O)C(F)(F)F,permeability,'=',0.3,10'-6 cm/s,CHEMBL4621605,Permeability of the compound at 200 uM measured after 5 hrs at pH 7.4 by PAMPA,A,BAO_0000019,assay format,CHEMBL4619777,Scientific Literature,J Med Chem,2020.0
CHEMBL3941301,COc1cnc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)cn1,permeability,'=',19.5,10'-6 cm/s,CHEMBL4183118,Passive permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL4177751,Scientific Literature,J Med Chem,2018.0
CHEMBL4203860,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)c1,permeability,'=',14.7,10'-6 cm/s,CHEMBL4183118,Passive permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL4177751,Scientific Literature,J Med Chem,2018.0
CHEMBL562536,O=C1/C(=N/OCC(F)(F)F)c2cccnc2N1Cc1nc2ccccc2n1CCCCO,permeability,'=',154.0,nM/s,CHEMBL1054839,Permeability across human Caco-2 cells,A,BAO_0000219,cell-based format,CHEMBL1153463,Scientific Literature,Bioorg Med Chem Lett,2009.0
CHEMBL4062546,CC1=CCC[C@H]1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C2(C)CCOC2)c1O,permeability,'=',318.0,nm/s,CHEMBL4037527,Passive permeability in MDCK2-MDR1 cells transduced with BacMam2-BCRP at 3 uM after 90 mins by Transwell assay,A,BAO_0000219,cell-based format,CHEMBL4033786,Scientific Literature,J Med Chem,2018.0
CHEMBL3577885,C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,permeability,'=',6.8,ucm/s,CHEMBL3579576,Permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL3576831,Scientific Literature,ACS Med Chem Lett,2015.0
CHEMBL3576959,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H]1O,permeability,'=',2.0,%,CHEMBL3580060,Permeability of the compound assessed as drug transmittance level at 10 uM after 5 hrs by LC-MS detection based PAMPA method,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3576769,Scientific Literature,J Med Chem,2015.0
CHEMBL3576964,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H]1O,permeability,'=',68.0,%,CHEMBL3580064,Permeability of the compound assessed as membrane/plate retention at 10 uM after 5 hrs by LC-MS detection based PAMPA method,P,BAO_0000100,small-molecule physicochemical format,CHEMBL3576769,Scientific Literature,J Med Chem,2015.0
CHEMBL4460950,O=C1CCc2cc(N3CC[C@](O)(C(=O)NCc4cc(F)cc(F)c4)C3=O)ccc2N1,permeability,'=',10.0,10'-6 cm/s,CHEMBL4417049,Permeability of the compound from apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4414652,Scientific Literature,J Med Chem,2019.0
CHEMBL4460444,O=C(NCc1cc(F)cc(Cl)c1)[C@@]1(O)CCN(c2ccc3[nH]ncc3c2)C1=O,permeability,'=',24.0,10'-6 cm/s,CHEMBL4417049,Permeability of the compound from apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4414652,Scientific Literature,J Med Chem,2019.0
CHEMBL4451402,O=C(NCc1cc(F)cc(F)c1)[C@@]1(O)CCN(c2cnc3[nH]ccc3c2)C1=O,permeability,'=',19.0,10'-6 cm/s,CHEMBL4417049,Permeability of the compound from apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4414652,Scientific Literature,J Med Chem,2019.0
CHEMBL4444178,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1ccccc1S(C)(=O)=O,permeability,'=',69.0,nm/s,CHEMBL4414795,Permeability across apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4414548,Scientific Literature,J Med Chem,2019.0
CHEMBL4456974,N#CN1CCC[C@@H](n2nc(-c3ccc(Oc4cccc(C(F)(F)F)n4)cc3)c(C(N)=O)c2N)C1,permeability,'>',10.0,10'-6 cm/s,CHEMBL4385497,Permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL4382291,Scientific Literature,ACS Med Chem Lett,2019.0
CHEMBL4456283,N#CN1CCC[C@@H](n2nc(-c3ccc(Oc4ccc(Cl)cc4)cc3)c(C(N)=O)c2N)C1,permeability,'>',10.0,10'-6 cm/s,CHEMBL4385497,Permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL4382291,Scientific Literature,ACS Med Chem Lett,2019.0
CHEMBL18840,NCCc1c[nH]c2ccc(C(N)=O)cc12,permeability,'=',3.54,10'-6 cm/s,CHEMBL4369116,Permeability of the compound by PAMPA,A,BAO_0000019,assay format,CHEMBL4368858,Scientific Literature,Medchemcomm,2018.0
CHEMBL3616786,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)c2csc(n2)[C@H]([C@@H](C)CC)NC(=O)[C@@H]2CCCN2C1=O,permeability,'=',1.2,10'-6 cm/s,CHEMBL4399405,Permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL4396919,Scientific Literature,ACS Med Chem Lett,2019.0
CHEMBL160,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,permeability,'=',5.6,10'-6 cm/s,CHEMBL4399405,Permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL4396919,Scientific Literature,ACS Med Chem Lett,2019.0
CHEMBL3809510,CC[C@H](C)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCN)C(N)=O,permeability,'=',0.07,ucm/s,CHEMBL3811078,Passive permeability of compound at 500 uM after 4 hrs by BBB-PAMPA,A,BAO_0000019,assay format,CHEMBL3808291,Scientific Literature,J Med Chem,2016.0
CHEMBL3771314,Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4cc3Cl)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,permeability,'<',15.0,nm/s,CHEMBL3773902,Permeability of compound across apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL3769346,Scientific Literature,Bioorg Med Chem Lett,2016.0
CHEMBL3805857,NC(=O)c1ccc(Oc2cncc3sc(-c4nnn[nH]4)cc23)cc1,permeability,'=',0.7,ucm/s,CHEMBL3807237,Permeability from apical to basolateral side in MDCK cells,A,BAO_0000219,cell-based format,CHEMBL3804775,Scientific Literature,ACS Med Chem Lett,2016.0
CHEMBL3805960,FC(F)(F)Oc1ccc(Oc2cncc3sc(-c4nnn[nH]4)cc23)cc1,permeability,'=',24.0,ucm/s,CHEMBL3807237,Permeability from apical to basolateral side in MDCK cells,A,BAO_0000219,cell-based format,CHEMBL3804775,Scientific Literature,ACS Med Chem Lett,2016.0
CHEMBL3186763,CN1CCN(C)/C(=N/c2ccc([N+](=O)[O-])cc2C(=O)Nc2ccccc2)C1,permeability,'=',13.0,ucm/s,CHEMBL3389061,Permeability at pH 7.4 by PAMPA assay,A,BAO_0000019,assay format,CHEMBL3352189,Scientific Literature,J Med Chem,2014.0
CHEMBL3747166,O=C(N[C@H]1CCOC[C@@H]1O)c1cn(Cc2ccc(-n3cccn3)cc2)c2cccnc12,permeability,'=',21.7,10'-6 cm/s,CHEMBL3749135,Permeability in RRCK cells,A,BAO_0000219,cell-based format,CHEMBL3745675,Scientific Literature,Bioorg Med Chem Lett,2016.0
CHEMBL3741333,O=C(Nc1nnc(COC2CCCC2)s1)c1ccc(O[C@H]2CC[C@@H](C(=O)O)CC2)cc1,permeability,'=',41.0,10'-7 cm/s,CHEMBL3742568,Permeability across human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL3739307,Scientific Literature,Bioorg Med Chem Lett,2016.0
CHEMBL1288069,COc1ccc(CC(=O)Nc2ccsc2-c2c[nH]c(C)n2)cc1,permeability,'=',338.0,nm/s,CHEMBL1291193,Permeability from apical to basolateral side of MDCK cells expressing MDR1 after 120 mins,A,BAO_0000219,cell-based format,CHEMBL1287787,Scientific Literature,Bioorg Med Chem Lett,2010.0
CHEMBL1950052,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCc1ccc(O)c(O)c1,permeability,'=',2297.39,microg/cm2/h,CHEMBL1953892,Percutaneous permeability through human SCE membrane in Franz diffusion cell after 12 hrs by UV-Vis spectrophotometry,A,BAO_0000019,assay format,CHEMBL1949600,Scientific Literature,J Nat Prod,2011.0
CHEMBL3741972,O=C(O)Cc1ccc(-c2ccc(CN3CC(=O)N(C4CCCCC4)C3=O)nc2)cc1,permeability,'<',30.0,nm/s,CHEMBL3743193,Permeability of compound across artificial membrane after 3 hrs by LC-MS analysis,A,BAO_0000019,assay format,CHEMBL3739319,Scientific Literature,Medchemcomm,2015.0
CHEMBL4635048,CNC(=O)c1cc(C(=O)NCCC[C@H]2OC[C@H](N)CO2)cc2c1O[C@H](CF)[C@H]2c1ccccc1,permeability,'=',45.0,nm/s,CHEMBL4622502,Permeability of compound by artificial membrane assay,A,BAO_0000019,assay format,CHEMBL4619816,Scientific Literature,ACS Med Chem Lett,2020.0
CHEMBL3092184,Cc1c(Cc2ccc(F)c(NS(N)(=O)=O)c2)c(=O)oc2cc(OC(=O)N(C)C)ccc12,permeability,'=',6.0,ucm/s,CHEMBL3096353,Permeability of the compound at pH 6.5 by PAMPA,A,BAO_0000019,assay format,CHEMBL3091288,Scientific Literature,ACS Med Chem Lett,2013.0
CHEMBL3092176,CNS(=O)(=O)Nc1cccc(Cc2c(C)c3ccc(Oc4nccs4)cc3oc2=O)c1F,permeability,'=',3.0,ucm/s,CHEMBL3096353,Permeability of the compound at pH 6.5 by PAMPA,A,BAO_0000019,assay format,CHEMBL3091288,Scientific Literature,ACS Med Chem Lett,2013.0
CHEMBL377441,Cc1cc(C[C@H](NS(=O)(=O)c2cccc(Cl)c2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],permeability,'=',0.2,ucm/s,CHEMBL865986,Permeability across Caco-2 cell membrane,A,BAO_0000219,cell-based format,CHEMBL1138056,Scientific Literature,J Med Chem,2006.0
CHEMBL4285601,COc1cc2oc(C(=O)OCC3CCN(Cc4ccccc4)CC3)cc(=O)c2cc1OC,permeability,'=',3.2,10'-6 cm/s,CHEMBL4273245,Permeability of the compound in pH 7.4 PBS by PAMPA-BBB assay,A,BAO_0000019,assay format,CHEMBL4270563,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL4287889,COc1ccc2oc(C(=O)NCC3CCN(Cc4ccccc4)CC3)cc(=O)c2c1,permeability,'=',6.8,10'-6 cm/s,CHEMBL4273245,Permeability of the compound in pH 7.4 PBS by PAMPA-BBB assay,A,BAO_0000019,assay format,CHEMBL4270563,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL3739504,N=C(N)NCCC[C@H](NC(=O)c1ccc(-c2cccs2)s1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1,permeability,'=',192.3,uM,CHEMBL3745076,Permeability of compound assessed as compound level in donor plate after 5 hrs by PAMPA,A,BAO_0000019,assay format,CHEMBL3739314,Scientific Literature,J Med Chem,2015.0
CHEMBL2409009,CCCCc1c(C(=O)NCc2cncn2C)cnn1-c1ncc(C)c(-c2cccs2)n1,permeability,'=',3.6,ucm/s,CHEMBL2410791,Permeability of the compound at pH 5 by PAMPA,A,BAO_0000019,assay format,CHEMBL2406902,Scientific Literature,ACS Med Chem Lett,2013.0
CHEMBL2409020,CCOCc1c(C(=O)NCc2cncn2C)cnn1-c1ncc(C)c(OCC)n1,permeability,'=',1.2,ucm/s,CHEMBL2410791,Permeability of the compound at pH 5 by PAMPA,A,BAO_0000019,assay format,CHEMBL2406902,Scientific Literature,ACS Med Chem Lett,2013.0
CHEMBL4643309,O=P1(c2ccc(C(F)(F)F)cc2)NCCCN1,permeability,'=',42.0,10'-6 cm/s,CHEMBL4618331,Permeability across apical to basolateral side in human Caco2 cells measured up to 2 hrs by LC-MS/MS analysis or scintillation counting method,A,BAO_0000219,cell-based format,CHEMBL4616670,Scientific Literature,J Med Chem,2020.0
CHEMBL4634565,CCOP(=O)(O)c1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,permeability,'<',0.1,10'-6 cm/s,CHEMBL4618331,Permeability across apical to basolateral side in human Caco2 cells measured up to 2 hrs by LC-MS/MS analysis or scintillation counting method,A,BAO_0000219,cell-based format,CHEMBL4616670,Scientific Literature,J Med Chem,2020.0
CHEMBL3121218,O=C(Nc1ccccc1)c1cccc(Oc2ccc3c(c2)c(=O)ncn3Cc2c(F)cc(F)cc2F)c1C(F)(F)F,permeability,'=',0.84,ucm/s,CHEMBL3122372,Permeability across apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL3120123,Scientific Literature,J Med Chem,2014.0
CHEMBL2413094,O=S(=O)(/C=C/c1ccc(O)c(O)c1)NCc1ccccc1,permeability,'=',12.2,ucm/s,CHEMBL2415138,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA assay,A,BAO_0000019,assay format,CHEMBL2412958,Scientific Literature,Bioorg Med Chem,2013.0
CHEMBL4162629,CC(C)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(=O)NC1CNC1,permeability,'=',0.3,nm/s,CHEMBL4158210,Permeability of the compound at 5 uM after 5 hrs by PAMPA,A,BAO_0000019,assay format,CHEMBL4152369,Scientific Literature,Bioorg Med Chem,2018.0
CHEMBL3735005,Oc1ccc(-c2cc3cccc(O)c3o2)c2cccnc12,permeability,'=',14.5,10'-6 cm/s,CHEMBL3739242,Permeability of the compound at 100 ug/ml after 10 hrs by PAMPA assay,A,BAO_0000019,assay format,CHEMBL3734674,Scientific Literature,J Med Chem,2015.0
CHEMBL4063870,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccncc4)cc23)CC[C@]1(C)N,permeability,'<',15.0,nm/s,CHEMBL4054848,Permeability from apical side to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4052645,Scientific Literature,Bioorg Med Chem Lett,2017.0
CHEMBL4098840,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccc(F)nc4)cc23)CC[C@]1(C)N,permeability,'<',15.0,nm/s,CHEMBL4054848,Permeability from apical side to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4052645,Scientific Literature,Bioorg Med Chem Lett,2017.0
CHEMBL3771271,Cc1cc(C[C@@H](NC(=O)N2CCN(c3ccccc3Br)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,permeability,'=',35.0,nm/s,CHEMBL3773901,Permeability of compound by PAMPA,A,BAO_0000019,assay format,CHEMBL3769346,Scientific Literature,Bioorg Med Chem Lett,2016.0
CHEMBL2408135,CC(C)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(-c2cncc(=O)[nH]2)c1,permeability,'=',94.0,ucm/s,CHEMBL2410520,Passive permeability across MDCK2 cells,A,BAO_0000219,cell-based format,CHEMBL2407069,Scientific Literature,Bioorg Med Chem Lett,2013.0
CHEMBL3787630,Nc1ncnc2c1c(-c1cccc(OC[C@@H]3CCCO3)c1)cn2[C@H]1C[C@@H](CN2CC[S+]([O-])CC2)C1,permeability,'=',30.0,%,CHEMBL3789677,Passive permeability of the compound assessed as fraction absorbed after 5 hrs by hexadecane membrane permeability assay,A,BAO_0000019,assay format,CHEMBL3785066,Scientific Literature,Bioorg Med Chem Lett,2016.0
CHEMBL561648,CCCCCCNC(=O)c1ccc(C(=O)CCN(C)C)cc1,permeability,'=',770.0,10'-6 cm/s,CHEMBL1034536,Permeability at pH 7.4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1151935,Scientific Literature,J Med Chem,2009.0
CHEMBL559718,CCCCCCSc1cc(Cl)c(C(=O)CCN2CCNC(=O)C2)cc1Cl,permeability,'=',810.0,10'-6 cm/s,CHEMBL1034536,Permeability at pH 7.4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1151935,Scientific Literature,J Med Chem,2009.0
CHEMBL551710,CCCCCCOc1cccc(C(=O)CCN(C)C)c1,permeability,'=',830.0,10'-6 cm/s,CHEMBL1034536,Permeability at pH 7.4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1151935,Scientific Literature,J Med Chem,2009.0
CHEMBL561245,CCCCCCOc1ccc(C(=O)CCN2CCOCC2)cc1,permeability,'=',1790.0,10'-6 cm/s,CHEMBL1034536,Permeability at pH 7.4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1151935,Scientific Literature,J Med Chem,2009.0
CHEMBL561649,CCCCCCS(=O)(=O)c1cc(C)c(C(=O)CCN(C)C)c(C)c1,permeability,'=',1880.0,10'-6 cm/s,CHEMBL1034536,Permeability at pH 7.4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1151935,Scientific Literature,J Med Chem,2009.0
CHEMBL558637,O=C(CN1C[C@H](NC(=O)c2ccc(Cl)s2)[C@@H](OCCO)C1)Nc1ccc(-n2ccccc2=O)cc1F,permeability,'=',0.4,10'-6 cm/s,CHEMBL1059515,Permeability across cell membrane,A,BAO_0000019,assay format,CHEMBL1152891,Scientific Literature,Eur J Med Chem,2009.0
CHEMBL556270,CCCCCCOc1ccc(C(=O)CCN2CCN(S(=O)(=O)CC)CC2)c(Cl)c1Cl,permeability,'>',1.0,10'-6 cm/s,CHEMBL1034536,Permeability at pH 7.4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1151935,Scientific Literature,J Med Chem,2009.0
CHEMBL572341,CCCCCCS(=O)(=O)c1cc(Cl)c(C(=O)CCN2CC2C)cc1Cl,permeability,'=',260.0,10'-6 cm/s,CHEMBL1034536,Permeability at pH 7.4 by PAMPA method,A,BAO_0000019,assay format,CHEMBL1151935,Scientific Literature,J Med Chem,2009.0
CHEMBL559316,Cc1c(CC(=O)O)c2cccnc2n1S(=O)(=O)c1ccc(Cl)c(C#N)c1,permeability,'=',1.0,10'-6 cm/s,CHEMBL1051064,Permeability across apical to basolateral side in human Caco-2 cells,A,BAO_0000219,cell-based format,CHEMBL1153075,Scientific Literature,Bioorg Med Chem Lett,2009.0
CHEMBL1672198,COc1ccc(Nc2nc(-c3ccc(OC)c(OC)c3)cs2)nc1,permeability,'=',24.4,10'-6 cm/s,CHEMBL1678436,Permeability across basolateral to apical side MDR1-expressing MDCK cells,A,BAO_0000219,cell-based format,CHEMBL1671787,Scientific Literature,J Med Chem,2011.0
CHEMBL1873475,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,permeability,'=',7.2,10'-6 cm/s,CHEMBL4236253,Permeability from apical to basolateral side in human Caco2 cells,A,BAO_0000219,cell-based format,CHEMBL4229542,Scientific Literature,Bioorg Med Chem Lett,2018.0
CHEMBL4208599,COc1ccc(S(=O)(=O)N2CC(=O)N(S(=O)(=O)c3ccc(OC)cc3)CC2=O)cc1,permeability,'=',6.46,10'-6 cm/s,CHEMBL4198351,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA-BBB assay,A,BAO_0000019,assay format,CHEMBL4196070,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL4206086,COc1ccc(/C=C(/C(=O)N2CCN(c3ncccn3)CC2)c2cccc(C(F)(F)F)c2)cc1,permeability,'=',14.7,10'-6 cm/s,CHEMBL4197900,Permeability of the compound after 10 hrs by PAMPA,A,BAO_0000019,assay format,CHEMBL4196050,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL4217804,COc1ccccc1/C=C(/C(=O)N1CCN(c2ncccn2)CC1)c1cccc(C(F)(F)F)c1,permeability,'=',9.7,10'-6 cm/s,CHEMBL4197900,Permeability of the compound after 10 hrs by PAMPA,A,BAO_0000019,assay format,CHEMBL4196050,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL4212764,O=C1C(c2ccccc2)N(S(=O)(=O)c2ccc(Br)cc2)C(=O)C(c2ccccc2)N1S(=O)(=O)c1ccc(Br)cc1,permeability,'=',8.31,10'-6 cm/s,CHEMBL4198351,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA-BBB assay,A,BAO_0000019,assay format,CHEMBL4196070,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL4209854,O=C1C(Cc2ccccc2)N(S(=O)(=O)c2ccc(O)cc2)C(=O)C(Cc2ccccc2)N1S(=O)(=O)c1ccc(O)cc1,permeability,'=',5.68,10'-6 cm/s,CHEMBL4198351,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA-BBB assay,A,BAO_0000019,assay format,CHEMBL4196070,Scientific Literature,Eur J Med Chem,2018.0
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,permeability,'=',5.9,10'-6 cm/s,CHEMBL4198351,Permeability of the compound at 25 ug/ml after 18 hrs by PAMPA-BBB assay,A,BAO_0000019,assay format,CHEMBL4196070,Scientific Literature,Eur J Med Chem,2018.0
