Smiles_unify,Smiles,value,source,concentration,spec,property
CC1(C)Cc2c(c(C(=O)Nc3ccc(C(F)(F)F)cn3)cc3nc(Nc4c(Cl)cccc4Cl)[nH]c23)O1,CC1(C)Cc2c(c(C(=O)Nc3ccc(C(F)(F)F)cn3)cc3nc(Nc4c(Cl)cccc4Cl)[nH]c23)O1,99.96,CHEMBL4221868,10 uM,Human,ppb
C[C@H]1C[C@@H](Oc2cc(Cl)cc(NC(=O)CC(CCC(=O)O)c3ccccc3)c2Cl)CCN1C(=O)C1CCCC1,C[C@H]1C[C@@H](Oc2cc(Cl)cc(NC(=O)CC(CCC(=O)O)c3ccccc3)c2Cl)CCN1C(=O)C1CCCC1,99.4,CHEMBL4736738,,Human,ppb
C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2F)N1S(=O)(=O)c1ccc(F)cc1,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2F)N1S(=O)(=O)c1ccc(F)cc1,98.0,CHEMBL4828035,,Human,ppb
C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2C(F)(F)F)N1S(=O)(=O)c1ccc(F)cc1,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2C(F)(F)F)N1S(=O)(=O)c1ccc(F)cc1,99.1,CHEMBL4828035,,Human,ppb
O=C(O)C[C@]1(CC(F)(F)F)CCc2cc(-c3cnc(NC(=O)Nc4ccc(F)c(F)c4)cn3)ccc2C1=O,O=C(O)C[C@]1(CC(F)(F)F)CCc2cc(-c3cnc(NC(=O)Nc4ccc(F)c(F)c4)cn3)ccc2C1=O,99.98,CHEMBL4144976,,Human,ppb
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)n[nH]c(=O)c32)C1,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)n[nH]c(=O)c32)C1,97.5,CHEMBL4730745,2 uM,Human Plasma,ppb
Cc1ccc(C(=O)Nc2cc(Br)ccc2C(=O)O)cc1S(=O)(=O)Nc1ccc(Cl)c(Cl)c1,Cc1ccc(C(=O)Nc2cc(Br)ccc2C(=O)O)cc1S(=O)(=O)Nc1ccc(Cl)c(Cl)c1,99.8,CHEMBL4138436,1 ug/ml,Human Plasma,ppb
O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(C2CCOC2)c1,O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(C2CCOC2)c1,83.0,CHEMBL4236912,1 ug/ml,Human Blood,ppb
O=C(Nc1ccc(Cl)cc1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)CC1,O=C(Nc1ccc(Cl)cc1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)CC1,99.7,CHEMBL4679368,,Human,ppb
COc1cc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)cc(OC)c1,COc1cc(NC(C(=O)c2c[nH]c3ccccc23)c2ccccc2)cc(OC)c1,99.8,CHEMBL4200986,,Human,ppb
O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1c(O)nn2ccccc12,O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1c(O)nn2ccccc12,99.1,CHEMBL4137394,,Human Serum,ppb
CNC(=O)c1cc(Oc2ccc3nc(N[C@@H]4CCCC[C@@H]4O)sc3c2)ccn1,CNC(=O)c1cc(Oc2ccc3nc(N[C@@H]4CCCC[C@@H]4O)sc3c2)ccn1,96.9,CHEMBL4220353,10 uM,Human Plasma,ppb
O=c1nc(OC[C@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2,O=c1nc(OC[C@H]2COCCO2)cc2n1CCc1cc(C#CC3CC3)ccc1-2,94.1,CHEMBL4675929,5 uM,Human,ppb
COc1ccc2c(c1)CCn1c-2cc(OCC2COc3ncccc3O2)nc1=O,COc1ccc2c(c1)CCn1c-2cc(OCC2COc3ncccc3O2)nc1=O,97.3,CHEMBL4675929,5 uM,Human,ppb
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC(=S)N(C)C)[C@H](C)[C@H]12,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC(=S)N(C)C)[C@H](C)[C@H]12,88.0,CHEMBL618942,10 ug/mL,Human Serum,ppb
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,99.0,CHEMBL4610172,,Human,ppb
N[C@@H]1CC[C@@H](n2cc(-c3ccc4cc[nH]c4c3)c(C(F)(F)F)n2)C1,N[C@@H]1CC[C@@H](n2cc(-c3ccc4cc[nH]c4c3)c(C(F)(F)F)n2)C1,96.6,CHEMBL4624250,,Human,ppb
CCOP(=O)(O)c1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,CCOP(=O)(O)c1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,95.4,CHEMBL4618342,,Human,ppb
Cc1nnc2n1-c1ccc(-c3ccc(N)nc3)cc1N(c1ccc(Cl)cc1)CC2C,Cc1nnc2n1-c1ccc(-c3ccc(N)nc3)cc1N(c1ccc(Cl)cc1)CC2C,98.0,CHEMBL4716991,,Human,ppb
CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,99.8,CHEMBL4703209,1 uM,Human,ppb
O=C(Nc1ccc(OC(F)(F)F)c(F)c1)NC1CCN(C(=O)C2CCOCC2)CC1,O=C(Nc1ccc(OC(F)(F)F)c(F)c1)NC1CCN(C(=O)C2CCOCC2)CC1,98.5,CHEMBL4703209,1 uM,Human,ppb
CCOC(=O)[C@@H](Cc1cn(C)c2ccccc12)NC(=O)[C@@H](N)CC(C)C,CCOC(=O)[C@@H](Cc1cn(C)c2ccccc12)NC(=O)[C@@H](N)CC(C)C.Cl,50.0,CHEMBL4837496,,Human,ppb
NC(=O)c1cnn(-c2cnc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nc2)c1,NC(=O)c1cnn(-c2cnc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nc2)c1,15.0,CHEMBL4845168,5 uM,Human,ppb
O=C(N[C@H]1CCN(C2CCCCC2)C[C@@H]1C(=O)NCCc1ccccn1)c1cc(-c2ccc(F)cc2F)on1,O=C(N[C@H]1CCN(C2CCCCC2)C[C@@H]1C(=O)NCCc1ccccn1)c1cc(-c2ccc(F)cc2F)on1,92.8,CHEMBL4706366,,Human,ppb
c1coc(CNc2ncnc3ccsc23)c1,c1coc(CNc2ncnc3ccsc23)c1,12.9,CHEMBL4724731,10 uM,Human,ppb
c1coc(CNc2ncnc3[nH]ccc23)c1,c1coc(CNc2ncnc3[nH]ccc23)c1,12.9,CHEMBL4724731,10 uM,Human,ppb
Clc1cc(NCc2ccco2)c2nc[nH]c2n1,Clc1cc(NCc2ccco2)c2nc[nH]c2n1,12.9,CHEMBL4724731,10 uM,Human,ppb
CCP(=O)(OC)c1ccc2oc(-c3cccc(Cl)c3Cl)nc2c1,CCP(=O)(OC)c1ccc2oc(-c3cccc(Cl)c3Cl)nc2c1,98.0,CHEMBL4621466,,Human,ppb
CS(=O)(=O)Nc1nnc2cc(COc3cc(Cl)cc(Cl)c3)c(C3CC3)cn12,CS(=O)(=O)Nc1nnc2cc(COc3cc(Cl)cc(Cl)c3)c(C3CC3)cn12,99.6,CHEMBL4256608,5 uM,Human Plasma,ppb
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F,90.5,CHEMBL4620727,,Human,ppb
COc1cc2ccc(Br)cc2cc1[C@@H](c1cccc(OC)c1F)[C@@](O)(CCN(C)C)c1cccc2c1CCC2,COc1cc2ccc(Br)cc2cc1[C@@H](c1cccc(OC)c1F)[C@@](O)(CCN(C)C)c1cccc2c1CCC2,100.0,CHEMBL4221363,,Human,ppb
CCOc1cc([C@H](c2cc3cc(Br)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OCC)n1,CCOc1cc([C@H](c2cc3cc(Br)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OCC)n1,99.99,CHEMBL4221363,,Human,ppb
CC1(C)Cc2c(c(C(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc3nc(Nc4c(F)cccc4Cl)[nH]c23)O1,CC1(C)Cc2c(c(C(=O)Nc3ccc(F)c(C(F)(F)F)c3)cc3nc(Nc4c(F)cccc4Cl)[nH]c23)O1,99.46,CHEMBL4221868,10 uM,Human,ppb
CN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,CN1CCN(c2ncc(-c3ccc4c(Nc5cnccn5)ccnc4c3)cn2)CC1,87.0,CHEMBL4344877,1 uM,Human,ppb
Cc1ccc(C(=O)Nc2cn3ncnc3c(CN3CCN(C(=O)C4CCCC4)[C@@H](C)C3)c2C)cn1,Cc1ccc(C(=O)Nc2cn3ncnc3c(CN3CCN(C(=O)C4CCCC4)[C@@H](C)C3)c2C)cn1,77.3,CHEMBL4345878,,Human,ppb
Cc1ccc(C(=O)Nc2cn3ncnc3c(O[C@H]3CCN(C(=O)CC(C(F)(F)F)C(F)(F)F)[C@@H](C)C3)c2C)cn1,Cc1ccc(C(=O)Nc2cn3ncnc3c(O[C@H]3CCN(C(=O)CC(C(F)(F)F)C(F)(F)F)[C@@H](C)C3)c2C)cn1,91.8,CHEMBL4345878,,Human,ppb
CCC(=O)c1sc(-c2ccc(Cl)cc2)c(C)c1-c1ccc(S(N)(=O)=O)cc1,CCC(=O)c1sc(-c2ccc(Cl)cc2)c(C)c1-c1ccc(S(N)(=O)=O)cc1,99.85,CHEMBL4356807,5 uM,Human Plasma,ppb
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,93.41,CHEMBL4322072,,Human,ppb
N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(=O)O)c2)cc1,N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(=O)O)c2)cc1,96.5,CHEMBL4346501,10 uM,Human,ppb
N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cc(C(=O)O)ccc2F)cc1,N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cc(C(=O)O)ccc2F)cc1,95.4,CHEMBL4346501,10 uM,Human,ppb
N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2ccc[n+]([O-])c2)cc1,N#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2ccc[n+]([O-])c2)cc1,67.9,CHEMBL4346501,10 uM,Human,ppb
Cn1c(N2CCOCC2)nc2cc(N3CCC(CO)CC3)c(NC(=O)c3cnn4cccnc34)cc21,Cn1c(N2CCOCC2)nc2cc(N3CCC(CO)CC3)c(NC(=O)c3cnn4cccnc34)cc21,88.0,CHEMBL4359947,5 uM,Human,ppb
CCn1ncc(-c2nc3c(N[C@H]4CCN(C(=O)C5CC5)C4)ncnc3n2C)c1C,CCn1ncc(-c2nc3c(N[C@H]4CCN(C(=O)C5CC5)C4)ncnc3n2C)c1C,55.0,CHEMBL4348862,,Human,ppb
Cc1noc2c1-c1ccc(-c3ccc(=O)n(C)c3)cc1N(c1ccc(C#N)cc1)CC2C,Cc1noc2c1-c1ccc(-c3ccc(=O)n(C)c3)cc1N(c1ccc(C#N)cc1)CC2C,98.0,CHEMBL4716991,,Human,ppb
Nc1ncn(Cc2c(Cl)cncc2Cl)c2ncnc1-2,Nc1ncn(Cc2c(Cl)cncc2Cl)c2ncnc1-2,88.0,CHEMBL4837944,,Human,ppb
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,100.0,CHEMBL4221363,,Human,ppb
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccoc12,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccoc12,100.0,CHEMBL4221363,,Human,ppb
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2ccoc12,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2ccoc12,99.86,CHEMBL4221363,,Human,ppb
CCOc1cc([C@H](c2cc3cc(C#N)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OCC)n1,CCOc1cc([C@H](c2cc3cc(C#N)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OCC)n1,100.0,CHEMBL4221363,,Human,ppb
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1ccnc2c1OCCO2,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1ccnc2c1OCCO2,99.96,CHEMBL4221363,,Human,ppb
O=C(C[C@H]1CC[C@@H](C(=O)O)CC1)N1CCc2c(n(Cc3ccc(F)cc3F)c3ncccc23)C1,O=C(C[C@H]1CC[C@@H](C(=O)O)CC1)N1CCc2c(n(Cc3ccc(F)cc3F)c3ncccc23)C1,99.4,CHEMBL4619318,,Human,ppb
Nc1nccc(-c2cc3c4c(n[nH]c4c2)N[C@@H]2CCC[C@H]2O3)n1,Nc1nccc(-c2cc3c4c(n[nH]c4c2)N[C@@H]2CCC[C@H]2O3)n1,88.0,CHEMBL4603073,10 uM,Human Plasma,ppb
C[C@]1(C(=O)O)CC[C@H](CC(=O)N2CCc3c(n(Cc4ccc(F)cc4F)c4ncccc34)C2)CC1,C[C@]1(C(=O)O)CC[C@H](CC(=O)N2CCc3c(n(Cc4ccc(F)cc4F)c4ncccc34)C2)CC1,99.1,CHEMBL4619318,,Human,ppb
CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4c3)cc2)CC1,CN1CCN(C(=O)c2ccc(-c3ccc4ncc(-c5ccc(C#N)cc5)n4c3)cc2)CC1,99.7,CHEMBL4189510,1 mM,Human Plasma,ppb
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(NC(C)(C)C)c3ccccn3)ns2)n1,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(NC(C)(C)C)c3ccccn3)ns2)n1,98.8,CHEMBL4222474,,Human,ppb
O=C(C[C@@H]1C(=O)Nc2ccccc2N1S(=O)(=O)c1ccc(Cl)c(Cl)c1)NCCc1ccc(-n2cnnc2)cc1,O=C(C[C@@H]1C(=O)Nc2ccccc2N1S(=O)(=O)c1ccc(Cl)c(Cl)c1)NCCc1ccc(-n2cnnc2)cc1,82.5,CHEMBL829768,,Human Plasma Protein,ppb
O=C(C[C@@H]1C(=O)Nc2ccccc2N1S(=O)(=O)c1ccc2ccccc2c1)NCCc1ccc(-c2ncc[nH]2)cc1,O=C(C[C@@H]1C(=O)Nc2ccccc2N1S(=O)(=O)c1ccc2ccccc2c1)NCCc1ccc(-c2ncc[nH]2)cc1,98.5,CHEMBL829768,,Human Plasma Protein,ppb
CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(C(=O)CC#N)C1,CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(C(=O)CC#N)C1,14.7,CHEMBL4220828,,Human,ppb
CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC(=O)O)c(F)c1)C2,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC(=O)O)c(F)c1)C2,99.9,CHEMBL4223536,,Human,ppb
COC(=O)C1CCCCN1c1ccc(CNc2nccc(C)c2NC(=O)CC#N)cc1,COC(=O)C1CCCCN1c1ccc(CNc2nccc(C)c2NC(=O)CC#N)cc1,78.0,CHEMBL839458,,Human Serum,ppb
CCP(=O)(OC)c1ccc2oc(-c3ccc(F)cc3F)nc2c1,CCP(=O)(OC)c1ccc2oc(-c3ccc(F)cc3F)nc2c1,85.0,CHEMBL4621466,,Human,ppb
COP(=O)(c1ccc2nc(-c3ccc(F)cc3)oc2c1)C(C)C,COP(=O)(c1ccc2nc(-c3ccc(F)cc3)oc2c1)C(C)C,96.0,CHEMBL4621466,,Human,ppb
CCP(=O)(OC1CCC1)c1ccc2oc(-c3cccc(C(F)(F)F)c3)nc2c1,CCP(=O)(OC1CCC1)c1ccc2oc(-c3cccc(C(F)(F)F)c3)nc2c1,100.0,CHEMBL4621466,,Human,ppb
Cc1c(C(=O)Nc2ccc(F)c(Cl)c2)sc(N)c1C(N)=O,Cc1c(C(=O)Nc2ccc(F)c(Cl)c2)sc(N)c1C(N)=O,94.0,CHEMBL4413189,5 uM,Human Plasma,ppb
CCP(=O)(OC)c1ccc2nc(-c3ccc4ccccc4c3)oc2c1,CCP(=O)(OC)c1ccc2nc(-c3ccc4ccccc4c3)oc2c1,99.0,CHEMBL4621466,,Human,ppb
Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCc2cc(S(=O)(=O)Nc3ncccn3)ccc21,Cn1nccc1-c1cc(C(F)(F)F)ccc1[C@H]1CCc2cc(S(=O)(=O)Nc3ncccn3)ccc21,99.7,CHEMBL4629746,,Human,ppb
CC(C)[C@@H](NC(=O)c1cc(C(F)(F)F)ccc1F)C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2c1ccc2[nH]ncc2c1,CC(C)[C@@H](NC(=O)c1cc(C(F)(F)F)ccc1F)C(=O)N1CCC2(CC1)C(=O)N(C)C(=O)N2c1ccc2[nH]ncc2c1,88.7,CHEMBL4613089,,Human,ppb
CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ccon2)c2ncc(-c3ccccc3F)[nH]2)C1,CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ccon2)c2ncc(-c3ccccc3F)[nH]2)C1,91.5,CHEMBL4625846,,Human,ppb
O=C(CCCCCc1ccncn1)NC1CCC(O)CC1,O=C(CCCCCc1ccncn1)NC1CCC(O)CC1,92.5,CHEMBL4618560,2 uM,Human,ppb
O=C(CCCCCc1ccccc1)N[C@H]1CC[C@H](O)CC1,O=C(CCCCCc1ccccc1)N[C@H]1CC[C@H](O)CC1,90.4,CHEMBL4618560,2 uM,Human,ppb
CC[C@H](NS(=O)(=O)c1ccc(-c2sc(CC(C)(C)C(=O)O)nc2CC2CCC2)c(C(F)F)c1F)C(F)(F)F,CC[C@H](NS(=O)(=O)c1ccc(-c2sc(CC(C)(C)C(=O)O)nc2CC2CCC2)c(C(F)F)c1F)C(F)(F)F,99.7,CHEMBL4623401,,Human,ppb
O=C(C[C@H]1CC[C@H](C(=O)O)CC1)N1CCc2c(n(Cc3cccc(F)c3)c3ncccc23)C1,O=C(C[C@H]1CC[C@H](C(=O)O)CC1)N1CCc2c(n(Cc3cccc(F)c3)c3ncccc23)C1,99.3,CHEMBL4619318,,Human,ppb
CC1(NC(=O)COc2cccc(-c3nc4c(c(Nc5ccc(-c6cn[nH]c6)cc5)n3)CN(C3CCC3)CC4)c2)CC1,CC1(NC(=O)COc2cccc(-c3nc4c(c(Nc5ccc(-c6cn[nH]c6)cc5)n3)CN(C3CCC3)CC4)c2)CC1,99.3,CHEMBL4605567,,Human,ppb
O=C(C[C@@H]1C(=O)Nc2ccc(Cl)cc2N1S(=O)(=O)c1ccc2ccccc2c1)NCCc1ccc(C2=NCCN2)cc1,O=C(C[C@@H]1C(=O)Nc2ccc(Cl)cc2N1S(=O)(=O)c1ccc2ccccc2c1)NCCc1ccc(C2=NCCN2)cc1,93.6,CHEMBL829768,,Human Plasma Protein,ppb
C[C@@H]1O[C@H](NC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@H](NC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,49.0,CHEMBL5112887,,Human,ppb
C[C@@H]1O[C@H](NC(=O)c2cccs2)[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@H](NC(=O)c2cccs2)[C@@H](O)[C@H](O)[C@@H]1O,70.0,CHEMBL5112887,,Human,ppb
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(C(=O)NCCCCCCOCCCCCOCCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCc5ccc(-c6scnc6C)cc5)C(C)(C)C)cc4)cc23)c1F,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(C(=O)NCCCCCCOCCCCCOCCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCc5ccc(-c6scnc6C)cc5)C(C)(C)C)cc4)cc23)c1F,96.0,CHEMBL5109253,0.5 mg/ml,Human,ppb
Cc1cc(NC(=O)c2sc(N)c(C(N)=O)c2C)ccc1F,Cc1cc(NC(=O)c2sc(N)c(C(N)=O)c2C)ccc1F,91.0,CHEMBL4413189,5 uM,Human Plasma,ppb
O=C(CC(O)c1cc(Cl)ccc1OCc1ccccc1)NO,O=C(CC(O)c1cc(Cl)ccc1OCc1ccccc1)NO,37.4,CHEMBL4432250,,Human Plasma,ppb
O=C(CC(O)c1cc(Cl)ccc1O)NO,O=C(CC(O)c1cc(Cl)ccc1O)NO,52.8,CHEMBL4432250,,Human Plasma,ppb
CCOc1ccc2cc(-c3nn(C(C)(C)CO)c(N)c3C(N)=O)ccc2c1,CCOc1ccc2cc(-c3nn(C(C)(C)CO)c(N)c3C(N)=O)ccc2c1,97.0,CHEMBL4675506,,Human,ppb
Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccc(F)c(OCC(=O)O)c2)cc1)Cc1ccc(F)cc1F,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccc(F)c(OCC(=O)O)c2)cc1)Cc1ccc(F)cc1F,99.9,CHEMBL876022,,Human Plasma,ppb
CCS(=O)(=O)c1ccc(CNc2nc3cnc(-c4c(OC)ncnc4C4CC4)nc3n(C(C)C)c2=O)nc1,CCS(=O)(=O)c1ccc(CNc2nc3cnc(-c4c(OC)ncnc4C4CC4)nc3n(C(C)C)c2=O)nc1,95.0,CHEMBL4679768,1 uM,Human,ppb
O=C(CCn1cnc([N+](=O)[O-])n1)Nc1cccc(OCc2ccccc2)c1,O=C(CCn1cnc([N+](=O)[O-])n1)Nc1cccc(OCc2ccccc2)c1,96.7,CHEMBL4179611,5 uM,Human,ppb
Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5ccnc(N6CCOCC6)n5)cc34)cc2Cl)c1,Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5ccnc(N6CCOCC6)n5)cc34)cc2Cl)c1,99.8,CHEMBL4140735,,Human,ppb
c1cc(-c2ccc3ncnc(Nc4ccnnc4)c3c2)cc(N2CCOCC2)c1,c1cc(-c2ccc3ncnc(Nc4ccnnc4)c3c2)cc(N2CCOCC2)c1,99.0,CHEMBL4140735,,Human,ppb
c1cc(-c2ccc3ncnc(Nc4cncnc4)c3c2)cc(N2CCOCC2)c1,c1cc(-c2ccc3ncnc(Nc4cncnc4)c3c2)cc(N2CCOCC2)c1,98.1,CHEMBL4140735,,Human,ppb
c1cc(-c2ccc3ncnc(Nc4ncco4)c3c2)cc(N2CCOCC2)c1,c1cc(-c2ccc3ncnc(Nc4ncco4)c3c2)cc(N2CCOCC2)c1,99.0,CHEMBL4140735,,Human,ppb
c1ccc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)nc1,c1ccc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)nc1,99.0,CHEMBL4140735,,Human,ppb
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,85.0,CHEMBL4348730,125 mg,Human Plasma,ppb
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,96.0,CHEMBL4348732,,Human,ppb
CCCc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccc(N)nc1C,CCCc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccc(N)nc1C,88.0,CHEMBL697760,,Human Plasma,ppb
Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccccc2)c1=O,Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccccc2)c1=O,78.0,CHEMBL697760,,Human Plasma,ppb
COC(=O)c1ccccc1N1CCC(O)(CNc2nccc(C)c2NC(=O)CC#N)CC1,COC(=O)c1ccccc1N1CCC(O)(CNc2nccc(C)c2NC(=O)CC#N)CC1,65.0,CHEMBL839458,,Human Serum,ppb
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)N[C@H]1CCN(c2ccncn2)C1,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)N[C@H]1CCN(c2ccncn2)C1,99.3,CHEMBL4426347,,Human,ppb
N#CC[C@H]1CC[C@H](n2c(=O)[nH]c3cnc(Nc4ccc[nH]c4=O)nc32)CC1,N#CC[C@H]1CC[C@H](n2c(=O)[nH]c3cnc(Nc4ccc[nH]c4=O)nc32)CC1,83.0,CHEMBL4416483,,Human Plasma,ppb
CCOc1ccc2cc(-c3nn(C(C)CCO)c(N)c3C(N)=O)ccc2c1,CCOc1ccc2cc(-c3nn(C(C)CCO)c(N)c3C(N)=O)ccc2c1,88.0,CHEMBL4675506,,Human,ppb
Cc1c(-c2ccc(N)cc2F)ccc2c3ocnc3c(=O)n(C3CC3)c12,Cc1c(-c2ccc(N)cc2F)ccc2c3ocnc3c(=O)n(C3CC3)c12,3.0,CHEMBL4700466,,Human,ppb
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,99.4,CHEMBL4179611,5 uM,Human,ppb
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,94.3,CHEMBL4626811,1 uM,Human Plasma,ppb
