,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Document ChEMBL ID,Source Description,Document Journal,Document Year
4393,CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,IC50,'>',50000.0,nM,CHEMBL3541096,Inhibition of CYP2C9 in human liver microsomes using tolbutamide substrate by LC-MS/MS method,A,BAO_0000019,assay format,CHEMBL3526101,Scientific Literature,Drug Metab Dispos,2013.0
4395,CHEMBL3577955,CC(C)N1CCN(C(=O)c2ccc(CN3CCOCC3)cc2)CC1.O=C(O)/C=C\C(=O)O,IC50,'>',40000.0,nM,CHEMBL3578430,Inhibition of CYP3A4 (unknown origin),A,BAO_0000357,single protein format,CHEMBL3576859,Scientific Literature,ACS Med Chem Lett,2015.0
4396,CHEMBL1651219,O=C(O)c1cc(-c2cccc(COc3ccc4c(=O)n(C5CCCC5)sc4c3)c2)ccc1Cl,IC50,'=',6200.0,nM,CHEMBL2188490,Inhibition of CYP1A2 in human liver microsomes,A,BAO_0000251,microsome format,CHEMBL2177081,Scientific Literature,J Med Chem,2012.0
4397,CHEMBL1651219,O=C(O)c1cc(-c2cccc(COc3ccc4c(=O)n(C5CCCC5)sc4c3)c2)ccc1Cl,IC50,'=',4000.0,nM,CHEMBL2183560,Inhibition of CYP2C9 in human liver microsomes,A,BAO_0000251,microsome format,CHEMBL2177081,Scientific Literature,J Med Chem,2012.0
4398,CHEMBL2204363,Cc1ccc(Sc2ccccc2N2CCNCC2)c(Cl)c1.Cl,IC50,'=',1500.0,nM,CHEMBL2215826,"Inhibition of human recombinant CYP2D6 using 3-[2-(N,N-diethyl-N-methylamino)ethyl]-7-methoxy- 4-methylcoumarin after 45 mins by fluorescence spectrophotometric analysis",A,BAO_0000357,single protein format,CHEMBL2203036,Scientific Literature,J Med Chem,2011.0
4399,CHEMBL2204359,Cl.Clc1ccc(Sc2ccccc2N2CCNCC2)c(Cl)c1,IC50,'=',900.0,nM,CHEMBL2215826,"Inhibition of human recombinant CYP2D6 using 3-[2-(N,N-diethyl-N-methylamino)ethyl]-7-methoxy- 4-methylcoumarin after 45 mins by fluorescence spectrophotometric analysis",A,BAO_0000357,single protein format,CHEMBL2203036,Scientific Literature,J Med Chem,2011.0
4400,CHEMBL2205054,Cc1ccc(Sc2ccccc2N2CCNCC2)cc1C.Cl,IC50,'=',26000.0,nM,CHEMBL2215828,Inhibition of human recombinant CYP1A2 using 7-ethoxy-3-cyanocoumarin after 28 mins by fluorescence spectrophotometric analysis,A,BAO_0000357,single protein format,CHEMBL2203036,Scientific Literature,J Med Chem,2011.0
4401,CHEMBL3586436,Cc1cc(C)nc(N2C[C@H]3CN(C(=O)c4c(F)cccc4-n4nccn4)C[C@H]3C2)n1,IC50,'>',10000.0,nM,CHEMBL3587716,Inhibition of CYP1A2 in human liver microsomes using phenacetin as substrate by LC-MS/MS analysis,A,BAO_0000019,assay format,CHEMBL3585263,Scientific Literature,J Med Chem,2015.0
4402,CHEMBL2324755,Cn1nccc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2nncs2)cc1Cl,IC50,'=',100.0,nM,CHEMBL4040133,Inhibition of CYP2C9 (unknown origin),A,BAO_0000357,single protein format,CHEMBL4038312,Scientific Literature,J Med Chem,2017.0
4403,CHEMBL2324396,O=S(=O)(Nc1cscn1)c1cc(Cl)c(Oc2ccc(C(F)(F)F)cc2-c2ccnnc2)cc1F,IC50,'=',1365.0,nM,CHEMBL4040133,Inhibition of CYP2C9 (unknown origin),A,BAO_0000357,single protein format,CHEMBL4038312,Scientific Literature,J Med Chem,2017.0
4404,CHEMBL2325601,Nc1n[nH]cc1-c1cc(C(F)(F)F)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,IC50,'=',552.0,nM,CHEMBL4040133,Inhibition of CYP2C9 (unknown origin),A,BAO_0000357,single protein format,CHEMBL4038312,Scientific Literature,J Med Chem,2017.0
4407,CHEMBL3261485,COc1cc2c3c(cnn3CCN([C@@H]3CN4CCC3CC4)C2=O)c1,IC50,'>',50000.0,nM,CHEMBL3268502,Inhibition of CYP1A2 (unknown origin),A,BAO_0000357,single protein format,CHEMBL3259590,Scientific Literature,Bioorg Med Chem Lett,2014.0
4408,CHEMBL3261481,O=C1c2cccc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2,IC50,'>',50000.0,nM,CHEMBL3268876,Inhibition of CYP2D6 (unknown origin),A,BAO_0000357,single protein format,CHEMBL3259590,Scientific Literature,Bioorg Med Chem Lett,2014.0
4409,CHEMBL3261483,O=C1c2cc(Cl)cc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2,IC50,'>',50000.0,nM,CHEMBL3268877,Inhibition of CYP3A4 (unknown origin),A,BAO_0000357,single protein format,CHEMBL3259590,Scientific Literature,Bioorg Med Chem Lett,2014.0
4413,CHEMBL4068784,NCc1ccnc(Cl)c1,IC50,'>',30000.0,nM,CHEMBL3997554,Inhibition of CYP3A4 (unknown origin),A,BAO_0000357,single protein format,CHEMBL3994667,Scientific Literature,ACS Med Chem Lett,2017.0
4414,CHEMBL3354859,[O-][S+](c1cccc(OC(F)(F)F)c1)c1c(O)c(-c2cccnc2)cc2ccccc12,IC50,'=',14.0,nM,CHEMBL3371779,Inhibition of human CYP11B2 expressed in hamster V79MZ cells using [3H]-11-deoxycorticosterone as substrate after 1 hr by HPLC analysis,B,BAO_0000219,cell-based format,CHEMBL3352541,Scientific Literature,Eur J Med Chem,2015.0
4415,CHEMBL3354867,[O-][S+](c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1c(O)c(-c2cccnc2)cc2ccccc12,IC50,'=',9346.0,nM,CHEMBL3371780,Inhibition of human CYP11B1 expressed in hamster V79MZ cells using [3H]-11-deoxycorticosterone as substrate after 1 hr by HPLC analysis,B,BAO_0000219,cell-based format,CHEMBL3352541,Scientific Literature,Eur J Med Chem,2015.0
4416,CHEMBL3354868,[O-][S+](c1cc(Cl)cc(Cl)c1)c1c(O)c(-c2cccnc2)cc2ccccc12,IC50,'=',4717.0,nM,CHEMBL3371780,Inhibition of human CYP11B1 expressed in hamster V79MZ cells using [3H]-11-deoxycorticosterone as substrate after 1 hr by HPLC analysis,B,BAO_0000219,cell-based format,CHEMBL3352541,Scientific Literature,Eur J Med Chem,2015.0
4417,CHEMBL2146986,COC(=O)C(C)(C)C(c1ccc(Nc2cc(C)c(OC)c(C)c2)cc1)n1ccnc1,IC50,'=',14.0,nM,CHEMBL2148657,Inhibition of CYP26A1-mediated retinoic acid metabolism in human MCF7 cell microsomes using [3H]ATRA as substrate after 1 hr by scintillation counting,B,BAO_0000251,microsome format,CHEMBL2146372,Scientific Literature,Bioorg Med Chem,2012.0
4418,CHEMBL2170632,CS(=O)(=O)c1ccc(C(=O)N2CCC(c3ccc(C(=O)NC(=N)N)cc3C(F)(F)F)CC2)cc1,IC50,'>',30000.0,nM,CHEMBL2173432,Inhibition of CYP2C19 in human liver microsomes using 7-ethoxy-3-cyanocoumarin as substrate after 45 mins by LC/MS/MS analysis,A,BAO_0000251,microsome format,CHEMBL2169836,Scientific Literature,J Med Chem,2012.0
4419,CHEMBL3431414,N#Cc1c(Oc2cccc(Cl)c2)cccc1[N+](=O)[O-],IC50,'>',100000.0,nM,CHEMBL3431458,GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.,F,BAO_0000019,assay format,CHEMBL3430912,GSK Kinetoplastid Screening,,
4420,CHEMBL3431418,O=C1CN(C2CCCc3c(OCc4ccncc4)cccc32)C(=O)N1C1CCCCC1,IC50,'=',19.95,nM,CHEMBL3431458,GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.,F,BAO_0000019,assay format,CHEMBL3430912,GSK Kinetoplastid Screening,,
4421,CHEMBL3431424,N#Cc1ccc(S(=O)(=O)N2CCN(Cc3cccc(-c4ccncc4)c3)CC2)cc1,IC50,'=',79.43,nM,CHEMBL3431458,GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.,F,BAO_0000019,assay format,CHEMBL3430912,GSK Kinetoplastid Screening,,
4422,CHEMBL3431426,CN(C)CCOc1ccc(N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1,IC50,'=',25118.86,nM,CHEMBL3431458,GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.,F,BAO_0000019,assay format,CHEMBL3430912,GSK Kinetoplastid Screening,,
4423,CHEMBL3430918,CS(=O)(=O)O.Cc1cc(Br)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2ccnc(N)c2)c1,IC50,'=',15.85,nM,CHEMBL3431458,GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.,F,BAO_0000019,assay format,CHEMBL3430912,GSK Kinetoplastid Screening,,
4424,CHEMBL523303,Oc1c(-c2nnc(Cc3ccc(Cl)cc3)[nH]2)ncc2cccnc12,IC50,'=',31622.78,nM,CHEMBL3431458,GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.,F,BAO_0000019,assay format,CHEMBL3430912,GSK Kinetoplastid Screening,,
4425,CHEMBL3431440,Cc1cc(Br)sc1CNCCCNc1cc(=O)c2ccccc2[nH]1.Cl.Cl,IC50,'=',63095.73,nM,CHEMBL3431458,GSK_TCAKS: pIC50 CYP51 from Trypanosoma cruzi.,F,BAO_0000019,assay format,CHEMBL3430912,GSK Kinetoplastid Screening,,
4427,CHEMBL3608682,Cc1noc(-c2nnc3n2CCN(C(=O)c2ccc(F)cc2)[C@@H]3C)n1,IC50,'=',86000.0,nM,CHEMBL3610077,Inhibition of CYP1A2 (unknown origin),A,BAO_0000357,single protein format,CHEMBL3608214,Scientific Literature,ACS Med Chem Lett,2015.0
4429,CHEMBL3617989,CCOC(=O)C(Cn1ccnc1)NC(=O)c1nc2ccccc2s1,IC50,'=',740.0,nM,CHEMBL3620653,Inhibition of CYP26A1 in ATRA-induced human HL60 cell microsomes incubated for 30 mins in dark condition with NADPH and ATRA by HPLC method,B,BAO_0000219,cell-based format,CHEMBL3616427,Scientific Literature,Bioorg Med Chem,2015.0
4431,CHEMBL2159133,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]3[C@H]2O/C(=N\C(C)C)N3C)[C@](C)(OC)C[C@@H](C)NC(=O)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,'>',10000.0,nM,CHEMBL2163109,Inhibition of human recombinant CYP3A4 using 7-BQ as substrate preincubated for 5 to 10 mins before substrate addition,A,BAO_0000357,single protein format,CHEMBL2157869,Scientific Literature,J Med Chem,2012.0
4432,CHEMBL193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],IC50,'=',2300.0,nM,CHEMBL3541098,Inhibition of CYP1A2 in human liver microsomes using phenacetin substrate by LC-MS/MS method,A,BAO_0000019,assay format,CHEMBL3526101,Scientific Literature,Drug Metab Dispos,2013.0
4433,CHEMBL3353357,Cc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2,IC50,'=',6200.0,nM,CHEMBL3411391,Inhibition of CYP3A4 (unknown origin) using DBF as substrate by fluorescence assay,A,BAO_0000357,single protein format,CHEMBL3407349,Scientific Literature,J Med Chem,2015.0
4435,CHEMBL3408957,CC(C)N1CCC(Oc2ccc(/C=C/c3n[nH]c4cc([C@@H]5C[C@@]56C(=O)Nc5ccccc56)ccc34)cc2)CC1,IC50,'=',1600.0,nM,CHEMBL3411391,Inhibition of CYP3A4 (unknown origin) using DBF as substrate by fluorescence assay,A,BAO_0000357,single protein format,CHEMBL3407349,Scientific Literature,J Med Chem,2015.0
4436,CHEMBL3353355,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2,IC50,'=',2400.0,nM,CHEMBL3411392,Inhibition of CYP3A4 (unknown origin) using BFC as substrate by fluorescence assay,A,BAO_0000357,single protein format,CHEMBL3407349,Scientific Literature,J Med Chem,2015.0
4440,CHEMBL3647435,CSc1ccccc1C1CCCN1C(=O)C(C)NC(=O)NCc1ccc(N)cc1,IC50,'=',3100.0,nM,CHEMBL3707943,"Enzymatic Assay: Cyclophilin PPlase activity was measured at 20 C. by using the standard chymotrypsin coupled assay (Kofron J L, Kuzmic P, Kishore V, Colon-Bonilla E, Rich D H. Determination of kinetic constants for peptidyl prolyl cis-trans isomerases by an improved spectrophotometric assay. Biochemistry. 1991 Jun. 25; 30(25):6127-34). The assay buffer (25 mM Hepes, 100 mM NaCl, pH 7.8) and CypA, B or D (1900 nM stock solution) were pre-cooled to 4 C., to which then was added 5 uL of 50 mg/ml chymotrypsin in 1 mM HCl. The reaction was initiated by adding 20 uL of 3.2 mM peptide substrate (Suc-Ala-Ala-cis-Pro-Phe-pNA) in LiCl/TFE solution with rapid inversion. After a delay from the onset of mixing, the absorbance of p-nitroaniline was followed at 390 nM until the reaction was complete (1 min). The final concentration of LiCl in the assay was 20 mM; TFE was present at a concentration of 4% (v/v). Absorbance readings were collected every 1 s by spectrophotometer.",B,BAO_0000357,single protein format,CHEMBL3639117,BindingDB Database,,2014.0
4441,CHEMBL1650646,COc1ccc(-c2c(O)ccc3cc(-c4cccc(O)c4)ccc23)cn1,IC50,'=',2050.0,nM,CHEMBL3707848,Inhibition Assay: Inhibition assay using P450 CYP enzymes.,B,BAO_0000357,single protein format,CHEMBL3638998,BindingDB Database,,2013.0
4445,CHEMBL2419490,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccccc3)CC2)nc1C,IC50,'=',20000.0,nM,CHEMBL2424022,Inhibition of human recombinant CYP3A4,A,BAO_0000357,single protein format,CHEMBL2417494,Scientific Literature,J Med Chem,2013.0
4446,CHEMBL2419495,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3F)CC2)nc1C,IC50,'=',4100.0,nM,CHEMBL2424023,Inhibition of human recombinant CYP2C9,A,BAO_0000357,single protein format,CHEMBL2417494,Scientific Literature,J Med Chem,2013.0
4452,CHEMBL3740325,Cc1ccc(C(=O)O)c(C)c1NC(=O)c1cc(-c2cccc(Cl)c2)cc2ccccc12,IC50,'>',10000.0,nM,CHEMBL3744269,Inhibition of CYP2C8 (unknown origin),A,BAO_0000357,single protein format,CHEMBL3739413,Scientific Literature,Bioorg Med Chem Lett,2016.0
4455,CHEMBL2435856,CCc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1,IC50,'>',73000.0,nM,CHEMBL2439724,Inhibition of CYP3A4 (unknown origin),A,BAO_0000357,single protein format,CHEMBL2434870,Scientific Literature,J Med Chem,2013.0
4456,CHEMBL2435852,Cc1nc(Oc2ccc(C(=O)O)cc2)ccc1CN1CCC(N2C(=O)N(C3CCOCC3)C[C@H]2c2ccccc2)CC1,IC50,'>',40000.0,nM,CHEMBL2439727,Inhibition of CYP2C9 (unknown origin),A,BAO_0000357,single protein format,CHEMBL2434870,Scientific Literature,J Med Chem,2013.0
4457,CHEMBL2409418,O=C(c1cc2cc(F)cc(F)c2[nH]1)N1CC(CCl)c2c1ccc1[nH]ccc21,IC50,'=',9100.0,nM,CHEMBL2411848,Antiproliferative activity against human HEK293 cells expressing CYP2W1 assessed as growth inhibition after 96 hrs by MTT assay,F,BAO_0000219,cell-based format,CHEMBL2406908,Scientific Literature,J Med Chem,2013.0
4458,CHEMBL2409417,O=C(c1cc2cc(F)c(F)cc2[nH]1)N1CC(CCl)c2c1ccc1[nH]ccc21,IC50,'=',3700.0,nM,CHEMBL2411848,Antiproliferative activity against human HEK293 cells expressing CYP2W1 assessed as growth inhibition after 96 hrs by MTT assay,F,BAO_0000219,cell-based format,CHEMBL2406908,Scientific Literature,J Med Chem,2013.0
4459,CHEMBL2409416,COc1cc2cc(C(=O)N3CC(CCl)c4c3ccc3[nH]ccc43)[nH]c2c(OC)c1OC,IC50,'=',3100.0,nM,CHEMBL2411845,Antiproliferative activity against CHO cells expressing CYP1A1 assessed as growth inhibition after 96 hrs by MTT assay,F,BAO_0000219,cell-based format,CHEMBL2406908,Scientific Literature,J Med Chem,2013.0
4467,CHEMBL3912374,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)nc4)cc23)c1F,IC50,'=',5000.0,nM,CHEMBL3880166,Inhibition of CYP2C19 (unknown origin) using CEC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4468,CHEMBL3981784,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(S(=O)(=O)N5CCOCC5)cc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880166,Inhibition of CYP2C19 (unknown origin) using CEC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4469,CHEMBL3896039,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(OCCCN5CCOCC5)nc4)cc23)c1F,IC50,'<',5000.0,nM,CHEMBL3880169,Inhibition of CYP3A4 (unknown origin) using BFC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4470,CHEMBL3899101,O=C(c1c(F)ccc(NS(=O)(=O)c2ccccc2F)c1F)c1c[nH]c2nccc(Cl)c12,IC50,'>',10000.0,nM,CHEMBL3880167,Inhibition of CYP2C9 (unknown origin) using MFC as substrate after 45 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4471,CHEMBL2163830,CN1CCN(C(=O)[C@H](COCc2ccccc2)NC(=O)C2(c3ccc(Cl)cc3Cl)CC2)CC1,IC50,'=',2200.0,nM,CHEMBL2167345,Inhibition of human CYP3A4 using testosterone as substrate after 45 mins,A,BAO_0000357,single protein format,CHEMBL2163189,Scientific Literature,J Med Chem,2012.0
4472,CHEMBL3896589,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(N)nc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880167,Inhibition of CYP2C9 (unknown origin) using MFC as substrate after 45 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4473,CHEMBL3928075,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cnc(N5CCCC5)nc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880167,Inhibition of CYP2C9 (unknown origin) using MFC as substrate after 45 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4474,CHEMBL3949992,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(C#CCN(CC)CC)nc4)cc23)c1F,IC50,'=',5000.0,nM,CHEMBL3880167,Inhibition of CYP2C9 (unknown origin) using MFC as substrate after 45 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4475,CHEMBL3985717,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(CCCOC)cc4)cc23)c1F,IC50,'<',5000.0,nM,CHEMBL3880167,Inhibition of CYP2C9 (unknown origin) using MFC as substrate after 45 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4476,CHEMBL3948349,C#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)CCC)c3F)c2c1,IC50,'=',5000.0,nM,CHEMBL3880167,Inhibition of CYP2C9 (unknown origin) using MFC as substrate after 45 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4477,CHEMBL3941703,N#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4F)c3F)c2c1,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4478,CHEMBL3934437,N#Cc1ccnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4F)c3F)c12,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4479,CHEMBL3890797,N#Cc1ccnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4c(F)cccc4F)c3F)c12,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4480,CHEMBL3944290,N#Cc1cnc2[nH]cc(C(=O)c3cccc(NS(=O)(=O)c4c(F)cccc4F)c3F)c2c1,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4481,CHEMBL3931676,N#Cc1cnc2[nH]cc(C(=O)c3cccc(NS(=O)(=O)c4ccccc4)c3F)c2c1,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4482,CHEMBL3977421,Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)c2c1,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4483,CHEMBL3890467,N#Cc1ccnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)c12,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4484,CHEMBL3928507,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(C(=O)NCC)nc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4485,CHEMBL3921859,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cncnc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4486,CHEMBL3979361,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(NS(C)(=O)=O)cc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4487,CHEMBL3969082,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(C(=O)NC5CC5)nc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4488,CHEMBL3981425,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(S(C)(=O)=O)cc4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4489,CHEMBL3913674,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cnn(Cc5ccccc5)c4)cc23)c1F,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4490,CHEMBL3897700,CCCc1ccc(-c2cnc3[nH]cc(C(=O)c4c(F)ccc(NS(=O)(=O)CCC)c4F)c3c2)cn1,IC50,'>',10000.0,nM,CHEMBL3880168,Inhibition of CYP2D6 (unknown origin) using AMMC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4491,CHEMBL3939013,Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4F)c3F)c2c1,IC50,'>',10000.0,nM,CHEMBL3880169,Inhibition of CYP3A4 (unknown origin) using BFC as substrate after 30 mins,A,BAO_0000357,single protein format,CHEMBL3879902,Patent Bioactivity Data,,2012.0
4496,CHEMBL2158287,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(C(=O)[C@H](O)CO)CC3)cc2C2=CCCCC2)n1,IC50,'>',10000.0,nM,CHEMBL2160395,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL2157860,Scientific Literature,J Med Chem,2011.0
4497,CHEMBL256712,CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1,IC50,'>',10000.0,nM,CHEMBL2160397,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL2157860,Scientific Literature,J Med Chem,2011.0
4498,CHEMBL2158295,N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(C(=O)Cc4ccccn4)CC3)cc2C2=CCCCC2)n1,IC50,'=',1500.0,nM,CHEMBL2160397,Inhibition of CYP3A4,A,BAO_0000357,single protein format,CHEMBL2157860,Scientific Literature,J Med Chem,2011.0
4500,CHEMBL1270269,CC(C)(NCCCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1)C(N)=O,IC50,'=',35000.0,nM,CHEMBL1275143,Inhibition of CYP2C9,A,BAO_0000357,single protein format,CHEMBL1268809,Scientific Literature,Bioorg Med Chem Lett,2010.0
4501,CHEMBL1269673,CNCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,IC50,'=',14000.0,nM,CHEMBL1275129,Inhibition of CYP3A4 using midazolam as substrate,A,BAO_0000357,single protein format,CHEMBL1268808,Scientific Literature,Bioorg Med Chem Lett,2010.0
4502,CHEMBL1269682,CC(=O)NCCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1,IC50,'=',6000.0,nM,CHEMBL1275130,Inhibition of CYP3A4 using testosterone as substrate,A,BAO_0000357,single protein format,CHEMBL1268808,Scientific Literature,Bioorg Med Chem Lett,2010.0
